capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp optimal_time_infinite_case order_of_submission Gilmore_Gomory order_of_optimal_strategy_infinite_memory increasing_order_of_communication_strategy decreasing_order_of_computation_strategy increasing_order_of_communication_plus_computation_strategy decreasing_order_of_communication_plus_computation_strategy largest_communication_task_respects_memory_restriction smallest_communication_task_respects_memory_restriction maximum_accelerated_task_respects_memory_restriction optimal_order_infinite_memory_largest_communication_task_respects_memory_restriction optimal_order_infinite_memory_smallest_communication_task_respects_memory_restriction optimal_order_infinite_memory_maximum_accelerated_task_respects_memory_restriction  
246960 1.096167052 0.991011755 0.991011755 0.105155297 0.991035073 1.086395050 1.082421319 1.088852138 1.082949499 1.088249480 1.081429126 1.081387259 1.071828476 1.064993836 1.064993836 1.075457193 1.075457193 1.065559235  
264600 1.096167052 0.991011755 0.991011755 0.105155297 0.991035073 1.084423487 1.076773942 1.087624533 1.076274616 1.086925113 1.076183700 1.076532261 1.071934345 1.063610575 1.063610575 1.061868530 1.061868530 1.061227856  
282240 1.096167052 0.991011755 0.991011755 0.105155297 0.991035073 1.084423487 1.076773942 1.087624533 1.075995906 1.086925113 1.076059824 1.076328460 1.071296184 1.062950751 1.062950751 1.060856402 1.060856402 1.060025352  
299880 1.096167052 0.991011755 0.991011755 0.105155297 0.991035073 1.082433814 1.075778065 1.086050350 1.075101708 1.085334373 1.074837968 1.074957312 1.063533852 1.053699727 1.053699727 1.052531926 1.052531926 1.050671096  
317520 1.096167052 0.991011755 0.991011755 0.105155297 0.991035073 1.068912629 1.064499532 1.071099528 1.064468277 1.070971376 1.062565183 1.063671855 1.050801230 1.039909606 1.039909606 1.042312545 1.042312545 1.039988335  
335160 1.096167052 0.991011755 0.991011755 0.105155297 0.991035073 1.020357778 1.014639777 1.026655085 1.022461575 1.024861744 1.021392822 1.022001949 1.002171930 0.997932944 0.997932944 0.998771056 0.998771056 0.998516376  
176400 1.151087900 1.043420869 1.043420869 0.107667031 1.043443937 1.145053279 1.147234572 1.145132732 1.147998563 1.144603685 1.147422017 1.147505540 1.143771801 1.143753549 1.143753549 1.143868700 1.143868700 1.143774403  
194040 1.151087900 1.043420869 1.043420869 0.107667031 1.043443937 1.145053279 1.147234572 1.145132732 1.147998563 1.144603685 1.147422017 1.147505540 1.143771801 1.143753549 1.143753549 1.143868700 1.143868700 1.143774403  
211680 1.151087900 1.043420869 1.043420869 0.107667031 1.043443937 1.145053279 1.147234572 1.145132732 1.147998563 1.144603685 1.147422017 1.147505540 1.143310022 1.143209929 1.143209929 1.143845834 1.143845834 1.143305037  
229320 1.151087900 1.043420869 1.043420869 0.107667031 1.043443937 1.144872074 1.146285969 1.145029014 1.145772393 1.143864915 1.144721865 1.145523451 1.137310090 1.134835622 1.134835622 1.140547292 1.140547292 1.135779732  
246960 1.151087900 1.043420869 1.043420869 0.107667031 1.043443937 1.142030981 1.138250506 1.143457309 1.138974873 1.143028454 1.136460319 1.137206374 1.127174052 1.121053934 1.121053934 1.133876455 1.133876455 1.121513740  
264600 1.151087900 1.043420869 1.043420869 0.107667031 1.043443937 1.139996674 1.131863529 1.142272202 1.130566660 1.141655108 1.129465915 1.129511791 1.128180029 1.120035944 1.120035944 1.117447346 1.117447346 1.117274446  
282240 1.151087900 1.043420869 1.043420869 0.107667031 1.043443937 1.139837776 1.131863529 1.142272202 1.130566660 1.141655108 1.129465915 1.129511791 1.126928251 1.118528873 1.118528873 1.116610116 1.116610116 1.116474591  
299880 1.151087900 1.043420869 1.043420869 0.107667031 1.043443937 1.138202795 1.130865671 1.140272822 1.129638033 1.139754202 1.128856630 1.128929700 1.118113449 1.108800113 1.108800113 1.109906665 1.109906665 1.109094493  
317520 1.151087900 1.043420869 1.043420869 0.107667031 1.043443937 1.124796832 1.118491213 1.126231827 1.117931825 1.125861458 1.115803529 1.116324248 1.107281053 1.095453257 1.095453257 1.096945689 1.096945689 1.095094867  
335160 1.151087900 1.043420869 1.043420869 0.107667031 1.043443937 1.072929668 1.066138848 1.077308316 1.074082060 1.075181568 1.072638864 1.073099081 1.056529893 1.049192984 1.049192984 1.050456786 1.050456786 1.050518661  
176400 1.134455378 1.028647316 1.028647316 0.105808062 1.028670955 1.127469299 1.130318525 1.128500748 1.131707324 1.128184918 1.130988309 1.130889882 1.125928621 1.125933142 1.125933142 1.127063185 1.127063185 1.127121711  
194040 1.134455378 1.028647316 1.028647316 0.105808062 1.028670955 1.127469299 1.130318525 1.128500748 1.131707324 1.128184918 1.130988309 1.130889882 1.125928621 1.125933142 1.125933142 1.127063185 1.127063185 1.127121711  
211680 1.134455378 1.028647316 1.028647316 0.105808062 1.028670955 1.127469299 1.130318525 1.128500748 1.131707324 1.128184918 1.130988309 1.130889882 1.125768352 1.125933142 1.125933142 1.127050417 1.127050417 1.127121711  
229320 1.134455378 1.028647316 1.028647316 0.105808062 1.028670955 1.127324631 1.129457063 1.128500748 1.130471514 1.128184918 1.129717808 1.129571400 1.120053214 1.119528057 1.119528057 1.125581972 1.125581972 1.119851313  
246960 1.134455378 1.028647316 1.028647316 0.105808062 1.028670955 1.124503073 1.123462033 1.126537212 1.120328660 1.126911034 1.120544542 1.120106150 1.109857179 1.101673868 1.101673868 1.117793664 1.117793664 1.101134960  
264600 1.134455378 1.028647316 1.028647316 0.105808062 1.028670955 1.121927413 1.115619075 1.124501679 1.111333521 1.124647814 1.112543534 1.112339182 1.109026056 1.101506248 1.101506248 1.097958854 1.097958854 1.098371605  
282240 1.134455378 1.028647316 1.028647316 0.105808062 1.028670955 1.121927413 1.115619075 1.124501679 1.111333521 1.124647814 1.112543534 1.112339182 1.108911178 1.101196201 1.101196201 1.097625451 1.097625451 1.098038202  
299880 1.134455378 1.028647316 1.028647316 0.105808062 1.028670955 1.121257182 1.115233895 1.123005789 1.110454036 1.123314490 1.111876077 1.111750699 1.102007037 1.092498297 1.092498297 1.091668845 1.091668845 1.090157980  
317520 1.134455378 1.028647316 1.028647316 0.105808062 1.028670955 1.108823268 1.103657972 1.112293633 1.101352304 1.112383731 1.102549203 1.102075128 1.091980557 1.081487616 1.081487616 1.080379188 1.080379188 1.077522755  
335160 1.134455378 1.028647316 1.028647316 0.105808062 1.028670955 1.055019804 1.054568933 1.059823458 1.059082244 1.058009106 1.057714150 1.057297794 1.040162707 1.033471914 1.033471914 1.033882444 1.033882444 1.033865203  
176400 1.126732839 1.026458489 1.026458489 0.100274350 1.026481176 1.120153758 1.122312400 1.120518357 1.123411924 1.120501484 1.123164557 1.123097358 1.119076159 1.118938809 1.118938809 1.119630568 1.119630568 1.119554583  
194040 1.126732839 1.026458489 1.026458489 0.100274350 1.026481176 1.120153758 1.122312400 1.120518357 1.123411924 1.120501484 1.123164557 1.123097358 1.119076159 1.118938809 1.118938809 1.119630568 1.119630568 1.119554583  
211680 1.126732839 1.026458489 1.026458489 0.100274350 1.026481176 1.120153758 1.122312400 1.120431489 1.123411924 1.120414616 1.123141870 1.122949897 1.118807464 1.118632907 1.118632907 1.119450508 1.119450508 1.119178960  
229320 1.126732839 1.026458489 1.026458489 0.100274350 1.026481176 1.119738689 1.121565001 1.120063544 1.122597676 1.119856449 1.122536320 1.122242015 1.111375011 1.111383187 1.111383187 1.117116834 1.117116834 1.111220764  
246960 1.126732839 1.026458489 1.026458489 0.100274350 1.026481176 1.116355381 1.116687738 1.118943433 1.114292331 1.118699975 1.114901555 1.115228846 1.101132474 1.093985041 1.093985041 1.109861973 1.109861973 1.096255002  
264600 1.126732839 1.026458489 1.026458489 0.100274350 1.026481176 1.114321856 1.109634820 1.118393433 1.107821864 1.116385049 1.106657582 1.106456632 1.101932346 1.092787934 1.092787934 1.090414353 1.090414353 1.090799081  
282240 1.126732839 1.026458489 1.026458489 0.100274350 1.026481176 1.114222590 1.109634820 1.118009366 1.107821864 1.116089350 1.106657582 1.106456632 1.100883130 1.092313762 1.092313762 1.089530528 1.089530528 1.089941248  
299880 1.126732839 1.026458489 1.026458489 0.100274350 1.026481176 1.113073778 1.107789428 1.115854830 1.106271507 1.113934814 1.105546358 1.105357570 1.093917456 1.083785629 1.083785629 1.082009715 1.082009715 1.079723002  
317520 1.126732839 1.026458489 1.026458489 0.100274350 1.026481176 1.100070903 1.095865432 1.102185855 1.094659824 1.100237876 1.093742183 1.093502106 1.082940962 1.070282649 1.070282649 1.071158826 1.071158826 1.068774621  
335160 1.126732839 1.026458489 1.026458489 0.100274350 1.026481176 1.050224695 1.050516825 1.057761628 1.052093009 1.055479770 1.049578048 1.049561167 1.036293591 1.028686660 1.028686660 1.030674015 1.030674015 1.030842318  
176400 1.133317651 1.038303146 1.038303146 0.095014505 1.038326194 1.127547979 1.129704651 1.127592652 1.130500958 1.127306284 1.129687459 1.129730992 1.126466440 1.126272248 1.126272248 1.126744476 1.126744476 1.126772619  
194040 1.133317651 1.038303146 1.038303146 0.095014505 1.038326194 1.127547979 1.129704651 1.127592652 1.130500958 1.127306284 1.129687459 1.129730992 1.126466440 1.126272248 1.126272248 1.126744476 1.126744476 1.126772619  
211680 1.133317651 1.038303146 1.038303146 0.095014505 1.038326194 1.127547979 1.129704651 1.127592652 1.130476345 1.127306284 1.129490524 1.129698241 1.125876569 1.126116837 1.126116837 1.126594617 1.126594617 1.126423928  
229320 1.133317651 1.038303146 1.038303146 0.095014505 1.038326194 1.127318709 1.128946454 1.127592652 1.129061611 1.127285655 1.127949291 1.128567417 1.118181634 1.117635951 1.117635951 1.124338535 1.124338535 1.117917269  
246960 1.133317651 1.038303146 1.038303146 0.095014505 1.038326194 1.125096668 1.121496869 1.125228375 1.120801070 1.125442631 1.119807200 1.121354956 1.109443538 1.102505930 1.102505930 1.117590232 1.117590232 1.104838201  
264600 1.133317651 1.038303146 1.038303146 0.095014505 1.038326194 1.122569517 1.117093453 1.124972600 1.113949587 1.125086419 1.114671603 1.114914075 1.110281301 1.102240463 1.102240463 1.100862837 1.100862837 1.101006075  
282240 1.133317651 1.038303146 1.038303146 0.095014505 1.038326194 1.122569517 1.116930237 1.124785138 1.113778936 1.124898957 1.114514380 1.114743424 1.109623316 1.101664247 1.101664247 1.100262731 1.100262731 1.100161126  
299880 1.133317651 1.038303146 1.038303146 0.095014505 1.038326194 1.120624829 1.115790118 1.121350051 1.113503903 1.121553102 1.113568354 1.113914474 1.099741624 1.092800150 1.092800150 1.091510453 1.091510453 1.090983154  
317520 1.133317651 1.038303146 1.038303146 0.095014505 1.038326194 1.106143094 1.101782973 1.109148107 1.100877057 1.108766450 1.101742821 1.101535030 1.088331356 1.077464182 1.077464182 1.079008918 1.079008918 1.076294817  
335160 1.133317651 1.038303146 1.038303146 0.095014505 1.038326194 1.060407797 1.060435285 1.064804007 1.061592021 1.064063860 1.059699814 1.059953566 1.046285215 1.040664967 1.040664967 1.041774379 1.041774379 1.041566755  
176400 1.151070061 1.045196609 1.045196609 0.105873452 1.045219813 1.144597198 1.146666679 1.144717145 1.147777053 1.144299735 1.146909566 1.146907734 1.143663445 1.143349349 1.143349349 1.143723048 1.143723048 1.143662057  
194040 1.151070061 1.045196609 1.045196609 0.105873452 1.045219813 1.144597198 1.146666679 1.144717145 1.147777053 1.144299735 1.146909566 1.146907734 1.143663445 1.143349349 1.143349349 1.143723048 1.143723048 1.143662057  
211680 1.151070061 1.045196609 1.045196609 0.105873452 1.045219813 1.144597198 1.146666679 1.144717145 1.147777053 1.144299735 1.146909566 1.146907734 1.143456855 1.142868290 1.142868290 1.143577999 1.143577999 1.143330636  
229320 1.151070061 1.045196609 1.045196609 0.105873452 1.045219813 1.144492051 1.145654050 1.144563747 1.147019259 1.144170812 1.145651355 1.146195833 1.135455734 1.135192425 1.135192425 1.141975706 1.141975706 1.133770508  
246960 1.151070061 1.045196609 1.045196609 0.105873452 1.045219813 1.142239388 1.138757392 1.143160003 1.137927621 1.142197509 1.137742666 1.136580518 1.127484870 1.118714931 1.118714931 1.131363285 1.131363285 1.121108276  
264600 1.151070061 1.045196609 1.045196609 0.105873452 1.045219813 1.139453334 1.131500398 1.142525837 1.131553034 1.141032868 1.130972873 1.130696817 1.126947651 1.118085687 1.118085687 1.116707787 1.116707787 1.117072154  
282240 1.151070061 1.045196609 1.045196609 0.105873452 1.045219813 1.139274225 1.131348975 1.142525837 1.131553034 1.141032868 1.130972873 1.130696817 1.126610108 1.117218059 1.117218059 1.116039898 1.116039898 1.116117564  
299880 1.151070061 1.045196609 1.045196609 0.105873452 1.045219813 1.137696222 1.129725198 1.138777955 1.129636574 1.137399408 1.129576375 1.129290575 1.117201972 1.106036912 1.106036912 1.106838504 1.106838504 1.104675399  
317520 1.151070061 1.045196609 1.045196609 0.105873452 1.045219813 1.121606738 1.115168045 1.125577866 1.115970282 1.124218670 1.115740094 1.115852688 1.104599452 1.092298881 1.092298881 1.093633006 1.093633006 1.090721799  
335160 1.151070061 1.045196609 1.045196609 0.105873452 1.045219813 1.074481058 1.068684475 1.079978131 1.075737106 1.077401112 1.073447898 1.072735399 1.058033970 1.050573073 1.050573073 1.052599902 1.052599902 1.052273958  
176400 1.079618821 0.975274784 0.975274784 0.104344037 0.975298777 1.073747318 1.076259661 1.073775119 1.076539532 1.073591233 1.076271085 1.076191232 1.072752925 1.072394243 1.072394243 1.072573041 1.072573041 1.072614754  
194040 1.079618821 0.975274784 0.975274784 0.104344037 0.975298777 1.073747318 1.076259661 1.073775119 1.076539532 1.073591233 1.076271085 1.076191232 1.072752925 1.072394243 1.072394243 1.072573041 1.072573041 1.072614754  
211680 1.079618821 0.975274784 0.975274784 0.104344037 0.975298777 1.073747318 1.076259661 1.073775119 1.076539532 1.073591233 1.076271085 1.076191232 1.072009546 1.071915338 1.071915338 1.072283947 1.072283947 1.072182238  
229320 1.079618821 0.975274784 0.975274784 0.104344037 0.975298777 1.073457780 1.075520171 1.073590809 1.075517466 1.073377620 1.075974072 1.075517686 1.066843358 1.066715606 1.066715606 1.069466707 1.069466707 1.065718322  
246960 1.079618821 0.975274784 0.975274784 0.104344037 0.975298777 1.070522625 1.068527354 1.072106942 1.067322542 1.072510976 1.066033250 1.066484770 1.057415625 1.048930679 1.048930679 1.062798455 1.062798455 1.051460945  
264600 1.079618821 0.975274784 0.975274784 0.104344037 0.975298777 1.068311733 1.059821815 1.071053837 1.059218633 1.069482665 1.058157343 1.058312531 1.055982430 1.046230902 1.046230902 1.045707656 1.045707656 1.044775753  
282240 1.079618821 0.975274784 0.975274784 0.104344037 0.975298777 1.068311733 1.059821815 1.070602439 1.059218633 1.069031267 1.058157343 1.058312531 1.054467480 1.045726529 1.045726529 1.044348880 1.044348880 1.043370905  
299880 1.079618821 0.975274784 0.975274784 0.104344037 0.975298777 1.067125915 1.058200171 1.068506745 1.058660165 1.067078967 1.056654187 1.056842900 1.049263685 1.038424059 1.038424059 1.037503479 1.037503479 1.035328870  
317520 1.079618821 0.975274784 0.975274784 0.104344037 0.975298777 1.054355261 1.047190642 1.058054654 1.047935193 1.056174836 1.045570192 1.045776028 1.036413963 1.024778492 1.024778492 1.026990611 1.026990611 1.022636663  
335160 1.079618821 0.975274784 0.975274784 0.104344037 0.975298777 1.003616921 1.002321352 1.012266956 1.007508796 1.009230710 1.005365918 1.005561537 0.988280281 0.981495911 0.981495911 0.985481470 0.985481470 0.983675946  
176400 1.123667329 1.017617262 1.017617262 0.106050067 1.017640216 1.117201281 1.119504021 1.117719308 1.120498117 1.117436945 1.119889591 1.119796136 1.116110030 1.115850562 1.115850562 1.116514953 1.116514953 1.116582132  
194040 1.123667329 1.017617262 1.017617262 0.106050067 1.017640216 1.117201281 1.119504021 1.117719308 1.120498117 1.117436945 1.119889591 1.119796136 1.116110030 1.115850562 1.115850562 1.116514953 1.116514953 1.116582132  
211680 1.123667329 1.017617262 1.017617262 0.106050067 1.017640216 1.117201281 1.119504021 1.117719308 1.120498117 1.117436945 1.119889591 1.119796136 1.115849245 1.115283152 1.115283152 1.116406070 1.116406070 1.116014105  
229320 1.123667329 1.017617262 1.017617262 0.106050067 1.017640216 1.116769089 1.118854375 1.117633353 1.118555379 1.117316203 1.118743531 1.117540600 1.108468919 1.107166269 1.107166269 1.113581415 1.113581415 1.106985513  
246960 1.123667329 1.017617262 1.017617262 0.106050067 1.017640216 1.113761921 1.112222610 1.115979570 1.110808340 1.116328090 1.108606308 1.108921325 1.099196452 1.091863572 1.091863572 1.107294724 1.107294724 1.094138852  
264600 1.123667329 1.017617262 1.017617262 0.106050067 1.017640216 1.111379730 1.105502470 1.115031354 1.104212769 1.113882721 1.102726478 1.103291459 1.098366320 1.089886223 1.089886223 1.088640086 1.088640086 1.088724993  
282240 1.123667329 1.017617262 1.017617262 0.106050067 1.017640216 1.111379730 1.105502470 1.114874761 1.104104945 1.113726128 1.102500560 1.103192170 1.098433368 1.089925169 1.089925169 1.088020214 1.088020214 1.087667085  
299880 1.123667329 1.017617262 1.017617262 0.106050067 1.017640216 1.109993289 1.104638506 1.112993465 1.103059955 1.111798322 1.101070965 1.101715855 1.090538825 1.080584213 1.080584213 1.080629105 1.080629105 1.079244959  
317520 1.123667329 1.017617262 1.017617262 0.106050067 1.017640216 1.095850237 1.091297190 1.097524176 1.090855003 1.096218678 1.090485076 1.090741609 1.077543269 1.066912421 1.066912421 1.068677728 1.068677728 1.066005593  
335160 1.123667329 1.017617262 1.017617262 0.106050067 1.017640216 1.048085968 1.043042872 1.049606625 1.048256774 1.047451843 1.045967721 1.045532845 1.029611031 1.021847595 1.021847595 1.023677646 1.023677646 1.023905532  
176400 1.139686578 1.039857474 1.039857474 0.099829104 1.039878622 1.134314436 1.136521821 1.134059638 1.136303765 1.133845463 1.136490183 1.136523074 1.133150780 1.132966124 1.132966124 1.133311686 1.133311686 1.133319185  
194040 1.139686578 1.039857474 1.039857474 0.099829104 1.039878622 1.134314436 1.136521821 1.134059638 1.136303765 1.133845463 1.136490183 1.136523074 1.133150780 1.132966124 1.132966124 1.133311686 1.133311686 1.133319185  
211680 1.139686578 1.039857474 1.039857474 0.099829104 1.039878622 1.134314436 1.136521821 1.134059638 1.136303765 1.133845463 1.136490183 1.136523074 1.133001003 1.132793930 1.132793930 1.133013526 1.133013526 1.133146991  
229320 1.139686578 1.039857474 1.039857474 0.099829104 1.039878622 1.133788230 1.135740909 1.133997881 1.135082806 1.133783706 1.135503701 1.135253845 1.126884303 1.126551555 1.126551555 1.131059329 1.131059329 1.126787547  
246960 1.139686578 1.039857474 1.039857474 0.099829104 1.039878622 1.131786264 1.129405273 1.131749248 1.129472656 1.131176015 1.128074343 1.127849165 1.118068071 1.110287385 1.110287385 1.125902561 1.125902561 1.110876930  
264600 1.139686578 1.039857474 1.039857474 0.099829104 1.039878622 1.129499869 1.122780166 1.131194710 1.120323769 1.130491708 1.120721698 1.121052694 1.117728283 1.109603094 1.109603094 1.105968117 1.105968117 1.106230484  
