capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp optimal_time_infinite_case order_of_submission Gilmore_Gomory_makespan order_of_optimal_strategy_infinite_memory increasing_order_of_communication_strategy decreasing_order_of_computation_strategy increasing_order_of_communication_plus_computation_strategy decreasing_order_of_communication_plus_computation_strategy largest_communication_task_respects_memory_restriction smallest_communication_task_respects_memory_restriction maximum_accelerated_task_respects_memory_restriction optimal_order_infinite_memory_largest_communication_task_respects_memory_restriction optimal_order_infinite_memory_smallest_communication_task_respects_memory_restriction optimal_order_infinite_memory_maximum_accelerated_task_respects_memory_restriction  
1836044288 3224.159740139 2712.820000628 2712.820000628 511.339739511 2712.820012355 2893.784484486 2772.264008011 2875.792413416 2865.692022865 2823.433171644 2815.978131828 2799.757703961 2804.490162335 2846.716163404 2846.716163404 2810.912476669 2810.912476669 2888.631878641  
2019648716 3224.159740139 2712.820000628 2712.820000628 511.339739511 2712.820012355 2889.612577280 2772.264008011 2875.747533155 2848.944098125 2817.931668003 2815.978131828 2785.371570401 2802.176208925 2806.211001670 2806.211001670 2777.433740107 2777.433740107 2835.656454749  
2203253144 3224.159740139 2712.820000628 2712.820000628 511.339739511 2712.820012355 2883.305244089 2772.264008011 2873.946407757 2848.944098125 2817.931668003 2815.978131828 2785.371570401 2802.176208925 2806.346544682 2806.346544682 2739.280935938 2739.280935938 2824.357813871  
2386857572 3224.159740139 2712.820000628 2712.820000628 511.339739511 2712.820012355 2866.049813686 2772.264008011 2870.138805685 2822.735976937 2786.066509254 2802.726653555 2773.165662697 2802.176208925 2819.042474979 2819.042474979 2716.519432229 2716.519432229 2825.987181108  
2570462000 3224.159740139 2712.820000628 2712.820000628 511.339739511 2712.820012355 2866.049813686 2772.264008011 2870.138805685 2822.735976937 2786.066509254 2802.545471483 2773.165662697 2802.176208925 2820.276196577 2820.276196577 2712.820043299 2712.820043299 2819.624267564  
2754066428 3224.159740139 2712.820000628 2712.820000628 511.339739511 2712.820012355 2866.049813686 2712.820013541 2752.917796313 2792.823763110 2755.203161503 2772.633257656 2713.721668227 2772.263995098 2773.736756717 2773.736756717 2712.820012355 2712.820012355 2773.366394513  
2937670856 3224.159740139 2712.820000628 2712.820000628 511.339739511 2712.820012355 2840.495914575 2712.820013541 2752.872017877 2792.823763110 2753.371419884 2772.633257656 2713.721668227 2772.263995098 2776.933105529 2776.933105529 2712.820051644 2712.820051644 2788.077026768  
3121275284 3224.159740139 2712.820000628 2712.820000628 511.339739511 2712.820012355 2782.004773745 2712.820013541 2752.501725586 2777.859932273 2753.185854176 2772.438442243 2713.721668227 2772.263995098 2775.736817750 2775.736817750 2712.820013444 2712.820013444 2763.647203588  
3304879712 3224.159740139 2712.820000628 2712.820000628 511.339739511 2712.820012355 2782.004773745 2712.820013541 2752.501725586 2777.840879959 2752.171960344 2772.272008470 2713.721668227 2772.263995098 2776.841846307 2776.841846307 2716.452837343 2716.452837343 2759.296636013  
3488484140 3224.159740139 2712.820000628 2712.820000628 511.339739511 2712.820012355 2782.004773745 2712.820013541 2722.776275521 2777.840879959 2719.009200498 2772.272008470 2713.721668227 2772.263995098 2775.470750372 2775.470750372 2712.820015142 2712.820015142 2754.460998697  
1836044288 3546.279020652 2844.379780181 2844.379780181 701.899240471 2844.379791730 3118.834169136 3043.655410086 3158.227976875 3110.999794737 3134.452630115 3121.531056953 3063.822303566 3059.461048042 3077.889314416 3077.889314416 3059.286597463 3059.286597463 3100.305837422  
2019648716 3546.279020652 2844.379780181 2844.379780181 701.899240471 2844.379791730 3118.200788337 3043.475058212 3148.736823643 3090.373736018 3121.244162740 3121.531056953 3056.700330397 3028.972071422 3066.130802868 3066.130802868 2995.085249791 2995.085249791 3062.181123296  
2203253144 3546.279020652 2844.379780181 2844.379780181 701.899240471 2844.379791730 3111.237381375 3028.578444031 3147.146787430 3073.853501632 3121.183279834 3121.531056953 3048.741372176 3007.284092943 3040.099936969 3040.099936969 3008.226155800 3008.226155800 3055.717110345  
2386857572 3546.279020652 2844.379780181 2844.379780181 701.899240471 2844.379791730 3078.546525110 2968.040163581 3143.288605771 3048.514712196 3050.779107010 3058.341366113 3040.735348729 2960.699994544 3026.753435980 3026.753435980 2981.195660541 2981.195660541 3066.302269141  
2570462000 3546.279020652 2844.379780181 2844.379780181 701.899240471 2844.379791730 3067.964070487 2968.040163581 3143.288605771 3039.834151949 3050.779107010 3058.126136050 3040.554955043 2939.412325589 3024.675707945 3024.675707945 2923.944138425 2923.944138425 3034.148372979  
2754066428 3546.279020652 2844.379780181 2844.379780181 701.899240471 2844.379791730 3020.606326950 2844.379793959 3051.259491530 3000.170279649 3031.638772442 3026.174658298 2949.194348006 2904.763273365 2980.294279599 2980.294279599 2905.040013915 2905.040013915 3020.004069456  
2937670856 3546.279020652 2844.379780181 2844.379780181 701.899240471 2844.379791730 3020.032465655 2844.379793959 3051.259491530 2993.582505116 3025.352844663 3026.174658298 2949.194348006 2904.763273365 2982.721619173 2982.721619173 2907.608593483 2907.608593483 3016.211799552  
3121275284 3546.279020652 2844.379780181 2844.379780181 701.899240471 2844.379791730 2982.099414551 2844.379793959 3051.259491530 2986.594080974 3012.216399046 3025.978666667 2948.982583984 2904.763273365 2966.877096333 2966.877096333 2880.305912425 2880.305912425 3003.657893446  
3304879712 3546.279020652 2844.379780181 2844.379780181 701.899240471 2844.379791730 2954.870284887 2844.379793959 3051.259491530 2986.594080974 3012.216399046 3025.764994150 2948.982583984 2904.763273365 2943.252660046 2943.252660046 2888.996022964 2888.996022964 3000.358887669  
3488484140 3546.279020652 2844.379780181 2844.379780181 701.899240471 2844.379791730 2954.870284887 2844.379793959 3019.196877909 2982.718263871 2991.998643498 3025.764994150 2928.764828436 2904.763273365 2957.641168429 2957.641168429 2885.746005141 2885.746005141 2995.570876080  
1836044288 3851.458851773 2846.194544607 2846.194544607 1005.264307166 2846.194556290 3296.068743712 3056.785084222 3212.818187466 3152.679547087 3186.109295582 3140.658511534 3101.858941441 3021.095068613 3044.038471696 3044.038471696 3058.706078763 3058.706078763 3136.691876188  
2019648716 3851.458851773 2846.194544607 2846.194544607 1005.264307166 2846.194556290 3201.902851881 3042.760990664 3212.736260023 3123.847594009 3171.881777066 3129.934648089 3091.424042276 2965.770298503 2973.192422459 2973.192422459 2993.992266685 2993.992266685 3165.613722202  
2203253144 3851.458851773 2846.194544607 2846.194544607 1005.264307166 2846.194556290 3189.768208873 3027.434559238 3212.736260023 3089.157920047 3171.881777066 3129.934648089 3082.192171561 2991.566297396 2940.503064728 2940.503064728 2957.937779958 2957.937779958 3073.474993446  
2386857572 3851.458851773 2846.194544607 2846.194544607 1005.264307166 2846.194556290 3108.252902990 3016.668420800 3212.362728146 3012.931119734 3137.253187795 3097.608381868 3012.168871258 2906.976688499 2906.976688499 2906.976688499 2971.951943971 2971.951943971 3144.475373415  
2570462000 3851.458851773 2846.194544607 2846.194544607 1005.264307166 2846.194556290 3079.042285474 3003.369733670 3212.362728146 3011.620017068 3136.572355194 3097.412306171 3012.168871258 2906.976688499 2906.976688499 2906.976688499 2858.685874774 2858.685874774 3078.539494202  
2754066428 3851.458851773 2846.194544607 2846.194544607 1005.264307166 2846.194556290 3028.364457716 2881.986833147 3092.477621352 2891.560196927 3093.380640820 3030.863817521 2948.876204186 2847.293016345 2847.293016345 2847.293016345 2911.676828647 2911.676828647 3070.176061281  
2937670856 3851.458851773 2846.194544607 2846.194544607 1005.264307166 2846.194556290 3028.121501927 2864.768988426 3092.437563991 2882.156399675 3082.127171327 3029.987277956 2940.626432416 2847.293016345 2847.319363834 2847.319363834 2900.669843624 2900.669843624 3043.622918060  
3121275284 3851.458851773 2846.194544607 2846.194544607 1005.264307166 2846.194556290 2945.706795034 2864.768988426 3092.091264272 2851.345690946 3082.066672182 3029.769764415 2926.403529294 2847.293016345 2847.293016345 2847.293016345 2906.091769606 2906.091769606 3071.623995545  
3304879712 3851.458851773 2846.194544607 2846.194544607 1005.264307166 2846.194556290 2936.069506496 2864.768988426 3092.091264272 2851.345690946 3076.308443213 3029.575658314 2926.403529294 2847.293016345 2847.293016345 2847.293016345 2890.870218160 2890.870218160 3076.336337284  
3488484140 3851.458851773 2846.194544607 2846.194544607 1005.264307166 2846.194556290 2936.069506496 2846.194556290 3039.328734794 2851.108792282 3068.854934825 3026.978540535 2918.434662358 2847.293016345 2847.412776119 2847.412776119 2909.777986022 2909.777986022 3061.555279910  
1836044288 2883.059719115 2064.027029594 2064.027029594 819.032689521 2064.027040503 2489.044409808 2317.064381562 2432.742713954 2386.727813555 2414.579300174 2380.202207314 2362.191674370 2245.872564236 2333.535018573 2333.535018573 2257.207440890 2257.207440890 2374.022587504  
2019648716 2883.059719115 2064.027029594 2064.027029594 819.032689521 2064.027040503 2408.210142519 2265.650940217 2432.742713954 2384.511951840 2401.118575480 2366.784988963 2326.255032522 2180.997813969 2344.366618377 2344.366618377 2200.356199150 2200.356199150 2394.864955802  
2203253144 2883.059719115 2064.027029594 2064.027029594 819.032689521 2064.027040503 2355.254758043 2250.627207294 2432.742713954 2383.433061900 2401.118575480 2364.511981364 2311.703934645 2177.801078345 2298.137058044 2298.137058044 2204.722045782 2204.722045782 2347.512580967  
2386857572 2883.059719115 2064.027029594 2064.027029594 819.032689521 2064.027040503 2338.053745972 2250.376176552 2410.720911430 2226.484325368 2393.784361717 2364.136228225 2308.891507765 2181.018992750 2274.448730920 2274.448730920 2168.730087306 2168.730087306 2335.581490455  
2570462000 2883.059719115 2064.027029594 2064.027029594 819.032689521 2064.027040503 2302.636413943 2250.166511417 2410.720911430 2225.124888196 2390.298589575 2364.136228225 2308.891507765 2136.474482175 2244.738087607 2244.738087607 2204.819516803 2204.819516803 2376.028143100  
