sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp optimal_time_infinite_case
1926.379606111 1352.089398227 1352.089398227 574.290207884 1352.089410158
1647.207670124 1316.269397658 1316.269397658 330.938272466 1316.269410632
1572.944423153 1285.979858762 1285.979858762 286.964564391 1286.085881866
2226.930428877 1523.510952705 1523.510952705 703.419476172 1523.543820916
2007.357109292 1468.471181597 1468.471181597 538.885927695 1468.471192848
1488.139267669 1086.362225570 1086.362225570 401.777042099 1086.453557132
1267.776449274 1001.446095710 1001.446095710 266.330353564 1001.446106592
1365.109854653 1048.295660248 1048.295660248 316.814194405 1048.295672109
1079.293549432 929.299415107 929.299415107 149.994134325 929.400414526
1325.744319110 1102.638052764 1102.638052764 223.106266346 1102.667299532
1456.649505004 1111.701608572 1111.701608572 344.947896432 1111.701621143
1415.168237249 715.897526450 699.270710799 715.897526450 715.899767216
1174.186840047 597.650949224 597.650949224 576.535890823 597.650960740
692.240428851 362.607472994 329.632955857 362.607472994 362.845050637
1210.646643064 635.561091438 575.085551626 635.561091438 652.430992690
751.845050178 389.793207800 362.051842378 389.793207800 390.256696096
1105.065465038 595.780240722 509.285224316 595.780240722 608.787918894
714.047698799 376.244177144 337.803521655 376.244177144 380.444240912
1443.377515226 782.388963035 782.388963035 660.988552191 782.388975705
1291.880605746 683.497974785 683.497974785 608.382630961 683.497987351
961.399489333 502.009304026 459.390185307 502.009304026 508.777719051
1480.328000051 762.093062638 718.234937413 762.093062638 769.968452705
923.328462269 514.511244138 408.817218131 514.511244138 523.120503719
734.134405083 419.133684020 419.133684020 315.000721063 419.133695098
953.748345116 487.540779775 466.207565341 487.540779775 500.684854790
870.688587759 496.593301974 374.095285785 496.593301974 497.438050822
1208.085594312 648.200545928 648.200545928 559.885048384 648.200558040
225.742227669 163.356686308 163.356686308 62.385541361 163.356697633
239.468553628 129.190339176 110.278214452 129.190339176 147.930245597
1150.301713965 598.737804703 598.737804703 551.563909262 598.737815994
1548.241328719 813.752431145 813.752431145 734.488897574 813.752442999
562.616851345 347.919191403 347.919191403 214.697659942 348.083215418
1047.602612501 539.649176057 539.649176057 507.953436444 539.649189005
792.423754864 422.520238618 422.520238618 369.903516246 422.530808731
1120.094443408 563.189416542 556.905026866 563.189416542 563.586375350
1257.033918251 634.201893034 634.201893034 622.832025217 634.201906373
659.119956732 404.784728572 404.784728572 254.335228160 404.803189906
1530.365568676 789.940540952 789.940540952 740.425027724 789.940552180
1022.773389114 534.381626877 488.391762237 534.381626877 544.321359197
989.368859180 543.132825593 446.236033587 543.132825593 544.127175798
209.031863604 145.242755649 145.242755649 63.789107955 145.330848537
1344.429389367 788.316004892 788.316004892 556.113384475 788.316015662
1273.647211097 753.914434865 753.914434865 519.732776232 753.914446975
624.415247005 474.162448354 474.162448354 150.252798651 474.162461311
341.925532578 247.337471688 247.337471688 94.588060890 247.337482676
2143.687010593 1274.174655171 1274.174655171 869.512355422 1274.174665881
1458.486475540 797.723543295 797.723543295 660.762932245 797.723555425
457.600064822 233.162832632 233.162832632 224.437232190 233.162844901
1264.608633220 715.159741310 715.159741310 549.448891910 715.159752512
1160.603551208 718.107056508 718.107056508 442.496494700 718.107068861
1250.371391337 760.873629564 760.873629564 489.497761773 760.873641067
1252.095594657 710.813798019 710.813798019 541.281796638 710.826196086
1187.957231908 702.647194590 702.647194590 485.310037318 702.647206446
1037.234484488 557.863543757 557.863543757 479.370940731 557.863556794
1722.304035012 918.875498944 918.875498944 803.428536068 918.875510291
891.975910076 543.912145826 543.912145826 348.063764250 543.912159319
1819.286060103 1115.635112942 1115.635112942 703.650947161 1115.635125007
858.652567418 515.382314727 515.382314727 343.270252691 515.382326975
998.418297260 529.679298094 468.738999166 529.679298094 529.679379849
294.990326150 150.117067557 144.873258593 150.117067557 154.751389821
1250.776967676 646.956532608 646.956532608 603.820435068 646.956545578
1190.289245528 624.920930703 565.368314825 624.920930703 625.224427928
735.026015780 401.540626441 401.540626441 333.485389339 401.540638762
835.639872405 447.952203287 447.952203287 387.687669118 447.952214935
266.777587594 196.479791155 196.479791155 70.297796439 196.479802961
643.582971445 366.402968986 366.402968986 277.180002459 366.437854647
1229.997575743 725.624254388 725.624254388 504.373321355 725.624266229
51.614185238 49.747468539 49.747468539 1.866716699 49.747481956
1179.526813653 725.492664062 725.492664062 454.034149591 725.492678148
565.398693520 295.163186756 295.163186756 270.235506764 295.163198834
1059.311270791 550.138129442 509.173141349 550.138129442 550.138989516
1327.018318246 826.786575173 826.786575173 500.231743073 826.786586772
1663.663406097 917.089828168 917.089828168 746.573577929 917.089839231
2202.646131550 1244.872455475 1244.872455475 957.773676075 1244.872466423
1159.485949134 724.251966512 724.251966512 435.233982622 724.251977525
1285.355181346 797.023031768 797.023031768 488.332149578 797.023043460
2341.708684092 1257.296560530 1257.296560530 1084.412123562 1257.296572454
236.514967795 202.044337209 202.044337209 34.470630586 202.044349415
455.885991878 269.967554760 269.967554760 185.918437118 269.967566776
1819.736490029 1064.196560338 1064.196560338 755.539929691 1064.196572542
692.823368333 348.022705742 344.800662591 348.022705742 358.952856657
1951.807037923 1006.262124130 1006.262124130 945.544913793 1006.262134949
1333.465060428 879.878380671 879.878380671 453.586679757 879.878393730
1404.177727989 764.175910653 640.001817336 764.175910653 766.233452232
873.496819325 530.478033452 530.478033452 343.018785873 530.478046740
1861.348115940 985.131320048 985.131320048 876.216795892 985.131331555
