capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp	optimal_time_infinite_case order_of_submission order_of_optimal_strategy_infinite_memory increasing_order_of_communication_strategy decreasing_order_of_computation_strategy increasing_order_of_communication_plus_computation_strategy decreasing_order_of_communication_plus_computation_strategy largest_communication_task_respects_memory_restriction smallest_communication_task_respects_memory_restriction maximum_accelerated_task_respects_memory_restriction optimal_order_infinite_memory_largest_communication_task_respects_memory_restriction optimal_order_infinite_memory_smallest_communication_task_respects_memory_restriction optimal_order_infinite_memory_maximum_accelerated_task_respects_memory_restriction
2386857572 3546.279020652 2844.379780181 2844.379780181 701.899240471	2844.379828062 3078.546525110 3033.736557611 3033.972428454 3036.355033378 3084.890366582 3005.204358562 2945.486066783 3032.020351369 3032.020351369 2970.292300864 2970.292300864 2978.419483253
2570462000 3546.279020652 2844.379780181 2844.379780181 701.899240471	2844.379828062 3067.964070487 3033.736557611 3026.630845036 3036.355033378 3078.159449439 3004.834606435 2925.357145899 3011.126723440 3011.126723440 2925.181271475 2925.181271475 2955.001864228
2754066428 3546.279020652 2844.379780181 2844.379780181 701.899240471	2844.379828062 3020.606326950 3000.709520356 3022.710982362 2994.070742596 3076.731199290 2978.099937731 2922.166343104 2997.396582611 2997.396582611 2907.675153959 2907.675153959 2922.544981683
2937670856 3546.279020652 2844.379780181 2844.379780181 701.899240471	2844.379828062 3020.032465655 2982.859820117 3010.847921006 2994.070742596 3076.536326875 2978.099937731 2912.526804327 2976.164466277 2976.164466277 2904.984700814 2904.984700814 2928.266873354
3121275284 3546.279020652 2844.379780181 2844.379780181 701.899240471	2844.379828062 2982.099414551 2967.940695129 2995.865251592 2994.004560161 3062.253930274 2947.997353353 2904.763273365 2979.563217794 2979.563217794 2889.133002986 2889.133002986 2924.558340416
3304879712 3546.279020652 2844.379780181 2844.379780181 701.899240471	2844.379828062 2954.870284887 2954.204515712 2995.074364058 2991.998679830 3062.009318880 2945.431508101 2904.763273365 2971.115488223 2971.115488223 2876.491288095 2876.491288095 2885.681503780
3488484140 3546.279020652 2844.379780181 2844.379780181 701.899240471	2844.379828062 2954.870284887 2921.728458173 2990.065541195 2920.804596203 3062.009318880 2925.213752553 2904.763273365 2963.619991530 2963.619991530 2850.668147411 2850.668147411 2872.577119485
1836044288 3851.458851773 2846.194544607 2846.194544607 1005.264307166	2846.205857519 3296.068743712 3175.330116187 3172.609052697 3168.966126514 3183.645204447 3088.357701492 3052.319135662 3081.888713415 3081.888713415 3059.159819858 3059.159819858 3131.177701005
2019648716 3851.458851773 2846.194544607 2846.194544607 1005.264307166	2846.205857519 3201.902851881 3169.919207121 3145.878086951 3135.955756040 3183.506283143 3045.195947578 2984.357174609 3020.379199968 3020.379199968 2968.464990134 2968.464990134 3107.026462440
2203253144 3851.458851773 2846.194544607 2846.194544607 1005.264307166	2846.205857519 3189.768208873 3144.427446245 3142.785378938 3135.955756040 3169.359951946 3040.779002031 2984.357174609 2999.120966951 2999.120966951 2956.436367978 2956.436367978 3118.060615693
2386857572 3851.458851773 2846.194544607 2846.194544607 1005.264307166	2846.205857519 3108.252902990 3130.238609448 3054.365889044 3101.280072396 3155.652684397 2973.359851494 2953.597523285 2940.916534106 2940.916534106 2956.496372383 2956.496372383 3066.429159198
2570462000 3851.458851773 2846.194544607 2846.194544607 1005.264307166	2846.205857519 3079.042285474 3130.238609448 3033.083707778 3094.179465721 3155.303993149 2973.208370428 2953.597523285 2940.464617027 2940.464617027 2907.673488819 2907.673488819 3054.525451659
2754066428 3851.458851773 2846.194544607 2846.194544607 1005.264307166	2846.205857519 3028.364457716 2979.126548348 2912.696282929 3042.183079306 3096.201030247 2874.530032590 2892.169962705 2909.181122969 2909.181122969 2900.471837371 2900.471837371 3002.218113741
2937670856 3851.458851773 2846.194544607 2846.194544607 1005.264307166	2846.205857519 3028.121501927 2978.997762170 2912.657617407 3030.767624664 3095.993880218 2874.345102984 2892.169962705 2909.183541503 2909.183541503 2887.313719760 2887.313719760 2991.530721051
3121275284 3851.458851773 2846.194544607 2846.194544607 1005.264307166	2846.205857519 2945.706795034 2967.429535563 2883.701155462 3030.707125519 3095.776366677 2864.093986547 2876.748962819 2909.354558250 2909.354558250 2896.330520856 2896.330520856 2984.575724955
3304879712 3851.458851773 2846.194544607 2846.194544607 1005.264307166	2846.205857519 2936.069506496 2965.354748254 2883.701155462 3001.714265963 3095.647580499 2864.093986547 2876.748962819 2909.249310868 2909.249310868 2890.245123731 2890.245123731 2979.224534822
3488484140 3851.458851773 2846.194544607 2846.194544607 1005.264307166	2846.205857519 2936.069506496 2955.253201278 2879.105115158 2985.087886565 3092.832949179 2847.231585318 2876.748962819 2878.035460500 2878.035460500 2868.950011254 2868.950011254 2943.646100485
1836044288 2883.059719115 2064.027029594 2064.027029594 819.032689521	2064.027060814 2489.044409808 2368.188942864 2333.680964212 2398.770490652 2416.826486359 2319.661655389 2225.043485307 2304.245683738 2304.245683738 2232.869000357 2232.869000357 2293.695771643
2019648716 2883.059719115 2064.027029594 2064.027029594 819.032689521	2064.027060814 2408.210142519 2356.777071714 2331.405688261 2379.444842884 2416.515957123 2302.521101734 2207.087529973 2306.346005384 2306.346005384 2205.235103057 2205.235103057 2286.677688472
2203253144 2883.059719115 2064.027029594 2064.027029594 819.032689521	2064.027060814 2355.254758043 2344.615625553 2291.142512983 2366.723921502 2416.515957123 2269.830682552 2154.280193805 2298.605403867 2298.605403867 2200.163293198 2200.163293198 2282.769433394
2386857572 2883.059719115 2064.027029594 2064.027029594 819.032689521	2064.027060814 2338.053745972 2315.417113377 2194.026051138 2339.279284111 2415.888892239 2239.252833783 2097.208391638 2190.522679944 2190.522679944 2189.828927640 2189.828927640 2266.114819825
2570462000 2883.059719115 2064.027029594 2064.027029594 819.032689521	2064.027060814 2302.636413943 2314.380330894 2193.220445045 2338.934128984 2415.815541686 2210.848034488 2075.406009151 2178.491642135 2178.491642135 2168.110273617 2168.110273617 2266.307739105
2754066428 2883.059719115 2064.027029594 2064.027029594 819.032689521	2064.027060814 2256.805090720 2251.940790362 2179.163463343 2318.152702057 2377.169468479 2210.402985599 2109.584171974 2196.319223746 2196.319223746 2137.328272853 2137.328272853 2206.465502036
2937670856 2883.059719115 2064.027029594 2064.027029594 819.032689521	2064.027060814 2230.805979768 2249.663987371 2169.703226952 2310.031377475 2377.151306765 2159.785347800 2121.825763127 2185.472132587 2185.472132587 2125.645811078 2125.645811078 2227.388956399
3121275284 2883.059719115 2064.027029594 2064.027029594 819.032689521	2064.027060814 2230.474079970 2239.576518040 2163.075227357 2304.543581601 2377.151306765 2141.907616452 2093.036308720 2177.319482779 2177.319482779 2140.725773739 2140.725773739 2221.403636489
3304879712 2883.059719115 2064.027029594 2064.027029594 819.032689521	2064.027060814 2182.588120734 2217.684508300 2162.385444980 2286.507643383 2376.402203355 2141.907616452 2089.564328215 2170.792231608 2170.792231608 2105.813913473 2105.813913473 2189.928388840
3488484140 2883.059719115 2064.027029594 2064.027029594 819.032689521	2064.027060814 2148.525289701 2204.494504070 2162.080449865 2279.922960990 2376.051723661 2127.021356029 2089.797831070 2172.460263833 2172.460263833 2097.985214050 2097.985214050 2195.004897976
1836044288 3401.169982585 2631.160838986 2631.160838986 770.009143599	2631.160901283 2842.198619570 2761.592424749 2825.595123293 2769.526282493 2814.029314126 2757.495596873 2709.732646661 2818.909244692 2818.909244692 2734.816111812 2734.816111812 2743.371886949
2019648716 3401.169982585 2631.160838986 2631.160838986 770.009143599	2631.160901283 2798.900114406 2761.592424749 2820.531747771 2748.268304243 2813.830467175 2732.122503420 2690.290520797 2802.088714814 2802.088714814 2718.197656121 2718.197656121 2726.394111837
2203253144 3401.169982585 2631.160838986 2631.160838986 770.009143599	2631.160901283 2754.360337501 2732.847646779 2813.244177426 2736.563907547 2813.500655854 2732.122503420 2690.290520797 2795.724452458 2795.724452458 2701.453406933 2701.453406933 2728.003730182
2386857572 3401.169982585 2631.160838986 2631.160838986 770.009143599	2631.160901283 2754.337614483 2726.498354414 2751.647408325 2702.913500564 2785.467819360 2694.705164835 2690.290520797 2743.120809102 2743.120809102 2709.755598972 2709.755598972 2725.637749062
2570462000 3401.169982585 2631.160838986 2631.160838986 770.009143599	2631.160901283 2701.481469516 2690.461698579 2747.640049390 2699.777070886 2784.815330074 2694.705164835 2690.290520797 2745.725294769 2745.725294769 2681.983070633 2681.983070633 2685.253268926
2754066428 3401.169982585 2631.160838986 2631.160838986 770.009143599	2631.160901283 2699.726057890 2676.396347923 2747.277379670 2686.291098719 2784.632655782 2662.096130128 2690.826626052 2737.392616978 2737.392616978 2680.040579917 2680.040579917 2683.137811226
2937670856 3401.169982585 2631.160838986 2631.160838986 770.009143599	2631.160901283 2699.262765156 2676.328106239 2741.851385271 2686.291098719 2784.632655782 2662.096130128 2690.290520797 2735.199913234 2735.199913234 2670.382479819 2670.382479819 2673.676277716
3121275284 3401.169982585 2631.160838986 2631.160838986 770.009143599	2631.160901283 2699.262765156 2663.414032554 2741.285956682 2675.736046004 2784.632655782 2637.421475236 2690.290520797 2731.808880101 2731.808880101 2661.152248016 2661.152248016 2661.442662817
3304879712 3401.169982585 2631.160838986 2631.160838986 770.009143599	2631.160901283 2673.828662127 2663.414032554 2740.649640055 2672.802311514 2784.331612286 2637.421475236 2690.290520797 2722.446169666 2722.446169666 2659.670616930 2659.670616930 2662.148065697
3488484140 3401.169982585 2631.160838986 2631.160838986 770.009143599	2631.160901283 2673.828662127 2650.485564855 2729.875849514 2672.802311514 2782.311996602 2631.455081117 2690.290520797 2724.608735971 2724.608735971 2650.425991113 2650.425991113 2650.425991113
1836044288 2232.119383753 1910.907138328 1910.907138328 321.212245425	1910.936889817 2030.207360657 2036.733308961 2016.022118414 1982.931768225 2028.539480451 1979.916631016 2009.901344476 2009.901344476 2009.901344476 1970.085908354 1970.085908354 2019.604875153
2019648716 2232.119383753 1910.907138328 1910.907138328 321.212245425	1910.936889817 2028.472708907 2035.768676897 2015.639140345 1982.509273739 2028.436419367 1979.912927107 2003.352562131 2005.089452077 2005.089452077 1944.154858370 1944.154858370 1970.060138077
2203253144 2232.119383753 1910.907138328 1910.907138328 321.212245425	1910.936889817 2027.853386127 2033.033545965 2013.095487878 1979.774142807 2025.791372596 1979.706131547 1995.799787565 2007.542830518 2007.542830518 1932.054274489 1932.054274489 1983.221061487
2386857572 2232.119383753 1910.907138328 1910.907138328 321.212245425	1910.936889817 2027.853386127 2032.844599648 2006.228553888 1969.734609919 2019.244181148 1969.845386104 1980.330833647 2000.913472904 2000.913472904 1928.132302078 1928.132302078 1969.675622090
2570462000 2232.119383753 1910.907138328 1910.907138328 321.212245425	1910.936889817 2027.853386127 2032.844599648 2005.847166716 1969.734609919 2019.143149311 1969.814880202 1972.778059081 1990.871714137 1990.871714137 1915.948531235 1915.948531235 1951.290076934
2754066428 2232.119383753 1910.907138328 1910.907138328 321.212245425	1910.936889817 1939.784611942 1926.289485590 1968.811814156 1933.643770264 1956.110954859 1933.724040547 1940.875759997 1965.971700302 1965.971700302 1913.875584584 1913.875584584 1915.849439575
2937670856 2232.119383753 1910.907138328 1910.907138328 321.212245425	1910.936889817 1939.784611942 1921.578043788 1965.971700302 1933.643770264 1956.110954859 1933.724040547 1933.291815523 1965.971700302 1965.971700302 1910.936889817 1910.936889817 1912.650769437
3121275284 2232.119383753 1910.907138328 1910.907138328 321.212245425	1910.936889817 1939.784611942 1921.578043788 1955.929941535 1933.643770264 1940.817040361 1933.724040547 1921.152696275 1955.929941535 1955.929941535 1910.936889817 1910.936889817 1920.850849973
3304879712 2232.119383753 1910.907138328 1910.907138328 321.212245425	1910.936889817 1924.640589620 1921.578043788 1955.929941535 1933.643770264 1940.817040361 1933.724040547 1921.152696275 1955.929941535 1955.929941535 1910.936889817 1910.936889817 1912.611019763
3488484140 2232.119383753 1910.907138328 1910.907138328 321.212245425	1910.936889817 1924.640589620 1910.936889817 1932.121839916 1910.936919894 1940.817040361 1911.017190177 1911.291950832 1932.121839916 1932.121839916 1910.936889817 1910.936889817 1910.936889817
1836044288 4281.440875539 3281.296731670 3281.296731670 1000.144143869	3281.296777079 3609.687214066 3582.557828069 3598.012934988 3581.459502765 3664.048252076 3512.303340903 3434.568369025 3574.644716192 3574.644716192 3452.080418314 3452.080418314 3537.147030981
2019648716 4281.440875539 3281.296731670 3281.296731670 1000.144143869	3281.296777079 3549.230857406 3578.666382025 3574.181079782 3549.343117694 3663.872697419 3512.201283010 3414.880216142 3560.468713393 3560.468713393 3373.626587742 3373.626587742 3470.286143825
2203253144 4281.440875539 3281.296731670 3281.296731670 1000.144143869	3281.296777079 3517.940268134 3531.375907282 3556.681258989 3549.343117694 3663.872697419 3511.031957919 3404.370560246 3540.510451327 3540.510451327 3353.844717340 3353.844717340 3448.784160807
