capacity sum_comm_comp max(sum_comm,sum_comp) sum_comm sum_comp OMIM OS GG BP OOSIM IOCMS DOCPS IOCCS DOCCS LCMR SCMR MAMR OOLCMR OOSCMR OOMAMR
286650 1.135175007 1.034111243 1.034111243 0.101063764 1.034133675 1.124338332 1.117570492 1.109997365 1.126804975 1.117521130 1.126200037 1.114411281 1.114227348 1.111967565 1.105010639 1.105010639 1.103663760 1.103663760 1.104113942  
308700 1.135175007 1.034111243 1.034111243 0.101063764 1.034133675 1.119709482 1.113448386 1.108399956 1.121859169 1.114740713 1.121583623 1.111713426 1.111756140 1.101009243 1.090736779 1.090736779 1.092724784 1.092724784 1.090855802  
330750 1.135175007 1.034111243 1.034111243 0.101063764 1.034133675 1.076044225 1.072954113 1.071649951 1.081825188 1.075736151 1.079584372 1.071977418 1.071748782 1.050876427 1.039345225 1.039345225 1.048302806 1.048302806 1.038910651  
352800 1.135175007 1.034111243 1.034111243 0.101063764 1.034133675 1.037007992 1.034144401 1.040729789 1.039621122 1.039692692 1.038714333 1.036550719 1.036647390 1.037045151 1.037007992 1.037007992 1.038637124 1.038637124 1.038479816  
176400 1.096167052 0.991011755 0.991011755 0.105155297 0.991035073 1.090211601 1.092366503 1.094389980 1.090337557 1.093073102 1.090028120 1.092419405 1.092397591 1.088993538 1.088886616 1.088886616 1.089126217 1.089126217 1.089189500  
198450 1.096167052 0.991011755 0.991011755 0.105155297 0.991035073 1.090211601 1.092366503 1.094600854 1.090337557 1.093073102 1.090028120 1.092419405 1.092397591 1.088993538 1.088886616 1.088886616 1.089126217 1.089126217 1.089189500  
242550 1.096167052 0.991011755 0.991011755 0.105155297 0.991035073 1.087228232 1.087057263 1.087969381 1.089265949 1.086595117 1.089004125 1.085097791 1.086767433 1.072114913 1.068618597 1.068618597 1.081060608 1.081060608 1.067645826  
264600 1.096167052 0.991011755 0.991011755 0.105155297 0.991035073 1.084423487 1.076773942 1.069788865 1.087624533 1.076274616 1.086925113 1.076183700 1.076532261 1.071934345 1.063610575 1.063610575 1.061868530 1.061868530 1.061227856  
286650 1.096167052 0.991011755 0.991011755 0.105155297 0.991035073 1.084423487 1.076773942 1.069200570 1.087624533 1.075995906 1.086925113 1.076059824 1.076328460 1.071123151 1.062417660 1.062417660 1.060520794 1.060520794 1.059598610  
308700 1.096167052 0.991011755 0.991011755 0.105155297 0.991035073 1.077308686 1.070933601 1.065187965 1.079680184 1.070360603 1.079204400 1.068825974 1.069653723 1.057373690 1.044987994 1.044987994 1.047109817 1.047109817 1.044123980  
330750 1.096167052 0.991011755 0.991011755 0.105155297 0.991035073 1.036177882 1.030627652 1.029152715 1.037791366 1.037022658 1.035245248 1.034940512 1.034302801 1.009411914 0.999218999 0.999218999 1.004397829 1.004397829 0.999559745  
352800 1.096167052 0.991011755 0.991011755 0.105155297 0.991035073 0.996498112 0.991075932 1.000480569 0.998527369 0.998591182 0.997624747 0.995784119 0.995811653 0.996681841 0.996405066 0.996405066 0.996714256 0.996714256 0.997683078  
