#input_size get_time acc_size acc_time op_type overall_time
2600 0.000384362 2600 0.000015113 add_time= 0.002129354
2550 0.000043897 2550 0.000008781 add_time= 0.000068218
2600 0.000168687 2600 0.000007348 add_time= 0.000215928
2805 0.000081245 2805 0.000018248 add_time= 0.000116165
2652 0.000124265 2652 0.000007096 add_time= 0.000145196
2550 0.000070100 2550 0.000006411 add_time= 0.000090310
1325 0.000518747 1325 0.000011736 add_time= 0.000573265
2550 0.000394457 2550 0.000020448 add_time= 0.000460504
2750 0.000212158 2750 0.000028676 add_time= 0.000274510
2703 0.000505209 2703 0.000008272 add_time= 0.000547209
2750 0.000081591 2750 0.000007471 add_time= 0.000127011
2750 0.000086075 2750 0.000007963 add_time= 0.000118489
2550 0.001037411 2550 0.000009241 add_time= 0.001079076
3025 0.000111375 3025 0.000006918 add_time= 0.000135558
2808 0.000055565 2808 0.000007433 add_time= 0.000079595
2703 0.000539667 2703 0.000008003 add_time= 0.000569043
2500 0.000122932 2500 0.000006486 add_time= 0.000151921
2754 0.000146787 2754 0.000007914 add_time= 0.000171387
5618 0.003186766 2809 0.000011288 mult_time= 0.003319018
2575 0.002541025 2650 0.000008034 mult_time= 0.002597780
5350 0.002299548 2862 0.000008593 mult_time= 0.002370198
5500 0.002031871 2500 0.000007400 mult_time= 0.002091853
5200 0.001904633 2500 0.000007442 mult_time= 0.001961569
5200 0.001821982 2500 0.000007515 mult_time= 0.001885114
5200 0.000104115 2500 0.000008970 mult_time= 0.000188054
5250 0.000547467 2750 0.000007391 mult_time= 0.000610664
5151 0.002695747 2550 0.000007071 mult_time= 0.002756621
5304 0.006374126 2600 0.000008410 mult_time= 0.006438814
5100 0.003220308 2600 0.000007301 mult_time= 0.003282628
4235 0.001338303 1300 0.000008919 mult_time= 0.001395639
5610 0.000106296 2600 0.000417610 mult_time= 0.000580263
5150 0.000060299 2652 0.000409015 mult_time= 0.000522905
5512 0.001798052 2808 0.000024548 mult_time= 0.001879341
