#input_size get_time acc_size acc_time op_type overall_time
2750 0.000857258 2750 0.000022266 add_time= 0.002063230
2550 0.000071713 2550 0.000017406 add_time= 0.000115256
2652 0.000259872 2652 0.000009058 add_time= 0.000305687
2550 0.000081361 2550 0.000007565 add_time= 0.000104195
2600 0.000069462 2600 0.000016396 add_time= 0.000102597
2500 0.000105159 2500 0.000006722 add_time= 0.000127601
2500 0.000083171 2500 0.000011681 add_time= 0.000155409
2750 0.000110325 2750 0.000009748 add_time= 0.000144127
2550 0.000123863 2550 0.000006907 add_time= 0.000146350
2500 0.000182629 2500 0.000039857 add_time= 0.000244743
1250 0.000059372 1250 0.000011295 add_time= 0.000102746
2750 0.000143525 2750 0.000007011 add_time= 0.000170060
1350 0.000144606 1350 0.000009720 add_time= 0.000176405
2550 0.000188339 2550 0.000007581 add_time= 0.000214044
2652 0.000287198 2652 0.000031062 add_time= 0.000355316
2500 0.000330257 2500 0.000008728 add_time= 0.000367159
2970 0.000163076 2970 0.000010053 add_time= 0.000201729
3025 0.000234906 3025 0.000016854 add_time= 0.000272599
2500 0.000150744 2500 0.000053124 add_time= 0.000230080
625 0.000058328 625 0.000038372 add_time= 0.000118617
5400 0.001936598 2915 0.000011857 mult_time= 0.002202952
5150 0.000962629 2650 0.000011955 mult_time= 0.001035507
5150 0.001490032 2650 0.000008016 mult_time= 0.001554002
5250 0.001133507 2750 0.000036526 mult_time= 0.001247135
5200 0.001378570 2500 0.000027038 mult_time= 0.001459554
5200 0.001410080 2500 0.000007995 mult_time= 0.001479179
5000 0.000246412 2500 0.000007458 mult_time= 0.000306842
5050 0.001586445 2550 0.000007350 mult_time= 0.001644744
5100 0.003830985 2600 0.000026981 mult_time= 0.003909317
2575 0.002786033 2652 0.000008644 mult_time= 0.002850509
5100 0.000907989 2600 0.000007875 mult_time= 0.000967189
5200 0.005573711 2704 0.000008535 mult_time= 0.005639001
5000 0.000953530 2500 0.000008657 mult_time= 0.001017943
5200 0.003529532 2500 0.000008508 mult_time= 0.003592975
5000 0.002515817 2500 0.000016055 mult_time= 0.002581943
5355 0.000041468 2750 0.000009038 mult_time= 0.000105599
5460 0.003808755 2750 0.000008535 mult_time= 0.003873496
5100 0.002007717 2600 0.000008141 mult_time= 0.002076017
5000 0.002384127 2500 0.000007593 mult_time= 0.002442005
5000 0.002827408 2500 0.000007588 mult_time= 0.002886250
5250 0.003160305 2750 0.000007775 mult_time= 0.003226285
5250 0.000056887 2750 0.000027505 mult_time= 0.000135813
5300 0.000057687 2805 0.000007735 mult_time= 0.000117965
5618 0.005076454 2805 0.000007820 mult_time= 0.005142200
5000 0.001450151 2500 0.000007314 mult_time= 0.001507548
5250 0.003274417 2750 0.000008059 mult_time= 0.003331230
5050 0.004466323 2550 0.000008007 mult_time= 0.004523291
3750 0.003952910 1250 0.000007042 mult_time= 0.004000953
5250 0.003022899 2750 0.000008261 mult_time= 0.003083249
5200 0.003465740 2700 0.000023659 mult_time= 0.003544560
5350 0.000070824 2860 0.000026748 mult_time= 0.000155134
