#input_size get_time acc_size acc_time op_type overall_time
2600 0.000248065 2600 0.000014973 add_time= 0.001854903
2652 0.000019517 2652 0.000024523 add_time= 0.000060696
3025 0.000060664 3025 0.000010100 add_time= 0.000089971
2600 0.000115899 2600 0.000008232 add_time= 0.000152376
2750 0.000044359 2750 0.000007814 add_time= 0.000069535
2860 0.000136953 2860 0.000006785 add_time= 0.000160451
2500 0.000317468 2500 0.000011370 add_time= 0.000411003
2550 0.000254868 2550 0.000008522 add_time= 0.000279795
2860 0.000175396 2860 0.000010850 add_time= 0.000225077
2750 0.000095791 2750 0.000008444 add_time= 0.000140711
2860 0.000589690 2860 0.000010798 add_time= 0.000649323
2550 0.000238346 2550 0.000007449 add_time= 0.000261819
2750 0.000235092 2750 0.000018699 add_time= 0.000273845
2750 0.000165481 2750 0.000008245 add_time= 0.000191168
1375 0.000111370 1375 0.000005744 add_time= 0.000131262
5670 0.001858551 2756 0.000010154 mult_time= 0.002040631
5720 0.001549110 2703 0.000008592 mult_time= 0.001616213
5150 0.002165327 2650 0.000007890 mult_time= 0.002229671
5100 0.001786472 2600 0.000007611 mult_time= 0.001843111
5000 0.001886772 2500 0.000007297 mult_time= 0.001941678
5304 0.001968991 2700 0.000007560 mult_time= 0.002027919
5000 0.000171397 2500 0.000007359 mult_time= 0.000233250
5000 0.000947238 2500 0.000008300 mult_time= 0.001009199
5500 0.001057316 2500 0.000008975 mult_time= 0.001118008
5775 0.002187780 2756 0.000008748 mult_time= 0.002255989
5304 0.002935863 2600 0.000008166 mult_time= 0.002994453
5610 0.002571494 2600 0.000007978 mult_time= 0.002631999
5100 0.000896733 2600 0.000008819 mult_time= 0.000958468
5610 0.000101509 2600 0.000007973 mult_time= 0.000162946
5304 0.004121190 2600 0.000008814 mult_time= 0.004197055
5304 0.000834542 2600 0.000008014 mult_time= 0.000893425
5250 0.003267503 2750 0.000008196 mult_time= 0.003328694
5500 0.001158196 2500 0.000007849 mult_time= 0.001215954
5250 0.000247964 2750 0.000010442 mult_time= 0.000341430
