optimal_time_infinite_case order_of_submission order_of_optimal_strategy_infinite_memory increasing_order_of_communication_strategy decreasing_order_of_computation_strategy increasing_order_of_communication_plus_computation_strategy decreasing_order_of_communication_plus_computation_strategy largest_communication_task_respects_memory_restriction smallest_communication_task_respects_memory_restriction maximum_accelerated_task_respects_memory_restriction optimal_order_infinite_memory_largest_communication_task_respects_memory_restriction optimal_order_infinite_memory_smallest_communication_task_respects_memory_restriction optimal_order_infinite_memory_maximum_accelerated_task_respects_memory_restriction
1.886269170 2.195033429 2.195171272 2.203770478 2.195220177 2.200147170 2.199159177 2.165783136 2.164170368 2.164170368 2.168900963 2.168900963 2.166812303
1.886269170 2.193888514 2.194088868 2.199177183 2.194029264 2.195260704 2.195653457 2.163259747 2.161697937 2.161697937 2.167571429 2.167571429 2.165531445
1.886269170 2.178038881 2.181230233 2.169582206 2.180060343 2.168922684 2.168217113 2.116009497 2.087236422 2.087236422 2.149080693 2.149080693 2.095800433
1.886269170 2.160340213 2.167383723 2.132004749 2.166049397 2.132219672 2.132309412 2.111812623 2.081473279 2.081473279 2.102447272 2.102447272 2.077096428
1.886269170 2.153252609 2.160442936 2.120617451 2.158981572 2.121878986 2.122378276 2.105224264 2.068080899 2.068080899 2.066145401 2.066145401 2.064593763
1.886269170 2.142721525 2.148176522 2.107751331 2.146878641 2.107771593 2.108433501 2.098196871 2.063158662 2.063158662 2.056264076 2.056264076 2.057255099
1.886269170 2.104085398 2.109174469 2.073912232 2.108114566 2.074365335 2.074135104 2.009271626 1.941993635 1.941993635 1.970834815 1.970834815 1.955551486
1.886269170 1.969968284 1.973364254 1.958121684 1.970890656 1.950691839 1.950491406 1.911814000 1.900341336 1.900341336 1.896681006 1.896681006 1.906498603
1.886269170 1.908164894 1.909632277 1.906800822 1.908334927 1.895431874 1.895603194 1.899125534 1.898679722 1.898679722 1.896856858 1.896856858 1.900817798
1.775596984 2.117453687 2.119929867 2.131995865 2.119475920 2.128293976 2.127439417 2.096909130 2.096609129 2.096609129 2.101166195 2.101166195 2.098306911
1.775596984 2.115947766 2.118095868 2.125841657 2.117657292 2.122894197 2.122150818 2.084324166 2.081742569 2.081742569 2.088565294 2.088565294 2.087786423
1.775596984 2.114741441 2.116951761 2.120909910 2.116423012 2.119134223 2.118676412 2.081850651 2.077439141 2.077439141 2.084670964 2.084670964 2.085659267
1.775596984 2.096969832 2.100407726 2.088504684 2.099919649 2.087975792 2.085851715 2.032748675 2.003930537 2.003930537 2.068232775 2.068232775 2.014201960
1.775596984 2.077142157 2.084721299 2.047139215 2.081175908 2.049185547 2.049447766 2.029868883 1.997977801 1.997977801 2.019588450 2.019588450 1.995935532
1.775596984 2.070522593 2.076881862 2.036488411 2.073023453 2.038900945 2.039012156 2.020021109 1.984088253 1.984088253 1.985262244 1.985262244 1.981390320
1.775596984 2.059885955 2.059930727 2.021349302 2.056685354 2.023409933 2.024197032 2.014353953 1.980070104 1.980070104 1.971580869 1.971580869 1.974900536
1.775596984 2.015837130 2.020615298 1.985716218 2.017877658 1.986132103 1.987251360 1.917710456 1.852993155 1.852993155 1.880979128 1.880979128 1.868649665
1.775596984 1.872806259 1.873527443 1.858589296 1.870385238 1.849707047 1.849379903 1.809185202 1.794117015 1.794117015 1.791651382 1.791651382 1.803810794
1.775596984 1.804388691 1.804138860 1.801804495 1.800986936 1.788799194 1.788455933 1.792982580 1.792581801 1.792581801 1.787949835 1.787949835 1.797061129
1.765094663 2.096829631 2.099624365 2.111891868 2.099058110 2.107034533 2.107935551 2.080491562 2.079589735 2.079589735 2.084477724 2.084477724 2.081249960
1.765094663 2.095111167 2.097795937 2.107272785 2.097273932 2.101541487 2.101722886 2.068211254 2.067082654 2.067082654 2.071867002 2.071867002 2.070279632
1.765094663 2.094065394 2.096620844 2.103266669 2.095985401 2.098677470 2.098828528 2.065610689 2.064860586 2.064860586 2.070751428 2.070751428 2.069260838
1.765094663 2.079557143 2.083404363 2.072914509 2.083505289 2.068341436 2.068885203 2.019674942 1.990186238 1.990186238 2.056062802 2.056062802 2.003558361
1.765094663 2.063337622 2.070256878 2.033342668 2.068383544 2.035717181 2.036053024 2.014703132 1.984585088 1.984585088 2.018272241 2.018272241 1.982261277
1.765094663 2.057039361 2.061463432 2.020790306 2.059926370 2.024807296 2.025034628 2.009213709 1.975006866 1.975006866 1.973072126 1.973072126 1.969844458
1.765094663 2.047141015 2.047303779 2.006830491 2.046001508 2.009706455 2.010463262 2.003580615 1.968659652 1.968659652 1.961561185 1.961561185 1.962802848
