capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp	optimal_time_infinite_case order_of_submission order_of_optimal_strategy_infinite_memory increasing_order_of_communication_strategy decreasing_order_of_computation_strategy increasing_order_of_communication_plus_computation_strategy decreasing_order_of_communication_plus_computation_strategy largest_communication_task_respects_memory_restriction smallest_communication_task_respects_memory_restriction maximum_accelerated_task_respects_memory_restriction optimal_order_infinite_memory_largest_communication_task_respects_memory_restriction optimal_order_infinite_memory_smallest_communication_task_respects_memory_restriction optimal_order_infinite_memory_maximum_accelerated_task_respects_memory_restriction
82280 1.974084715 1.637855586 1.637855586 0.336229129	1.637878259 1.874563150 1.878914935 1.874162193 1.879645230 1.873122342 1.874464248 1.791267088 1.770495624 1.770495624 1.781872291 1.781872291 1.771120187
87120 1.974084715 1.637855586 1.637855586 0.336229129	1.637878259 1.731691646 1.730008564 1.726765808 1.730319836 1.721090877 1.720790808 1.670619417 1.655156300 1.655156300 1.653661124 1.653661124 1.657681519
91960 1.974084715 1.637855586 1.637855586 0.336229129	1.637878259 1.663193438 1.660649256 1.660126912 1.660751098 1.654123548 1.653877784 1.653904842 1.653365920 1.653365920 1.647542543 1.647542543 1.652876785
48400 1.950182694 1.622806823 1.622806823 0.327375871	1.622829280 1.949192489 1.948202941 1.949352698 1.948232383 1.949089818 1.948976447 1.936155460 1.936217026 1.936217026 1.936742446 1.936742446 1.936453304
53240 1.950182694 1.622806823 1.622806823 0.327375871	1.622829280 1.947792699 1.946689454 1.948159512 1.946755118 1.948195383 1.947989558 1.926251779 1.924026028 1.924026028 1.929081107 1.929081107 1.925569215
58080 1.950182694 1.622806823 1.622806823 0.327375871	1.622829280 1.946921068 1.945682324 1.947172474 1.945634295 1.947149134 1.946897305 1.925076663 1.921414835 1.921414835 1.928526993 1.928526993 1.923778964
62920 1.950182694 1.622806823 1.622806823 0.327375871	1.622829280 1.932707783 1.935176180 1.934906811 1.935201905 1.932880760 1.932664511 1.911456493 1.909232574 1.909232574 1.915643327 1.915643327 1.910935628
67760 1.950182694 1.622806823 1.622806823 0.327375871	1.622829280 1.917708864 1.925783911 1.921896046 1.925420502 1.921946221 1.921473118 1.906359489 1.904842173 1.904842173 1.909975511 1.909975511 1.907303555
72600 1.950182694 1.622806823 1.622806823 0.327375871	1.622829280 1.911553040 1.917512959 1.912972102 1.917403285 1.913587431 1.913081104 1.896176181 1.892815354 1.892815354 1.901171197 1.901171197 1.894614571
77440 1.950182694 1.622806823 1.622806823 0.327375871	1.622829280 1.901799255 1.903095480 1.896601237 1.903364701 1.896817743 1.897032937 1.890861727 1.888240621 1.888240621 1.891381952 1.891381952 1.885036651
82280 1.950182694 1.622806823 1.622806823 0.327375871	1.622829280 1.857611759 1.862141400 1.856682963 1.861066987 1.854541210 1.854976954 1.772670177 1.754560602 1.754560602 1.767375520 1.767375520 1.755430120
87120 1.950182694 1.622806823 1.622806823 0.327375871	1.622829280 1.713806713 1.712639231 1.707084455 1.712581359 1.706226894 1.705702351 1.651419152 1.638014322 1.638014322 1.634722485 1.634722485 1.643972184
91960 1.950182694 1.622806823 1.622806823 0.327375871	1.622829280 1.646704019 1.643784195 1.643431352 1.644679177 1.635853485 1.636019460 1.637349975 1.637285857 1.637285857 1.632161622 1.632161622 1.637072634
48400 1.976027092 1.642390636 1.642390636 0.333636456	1.642415544 1.974791080 1.973626436 1.974660869 1.973465964 1.974560778 1.974633528 1.958983829 1.959067203 1.959067203 1.959309081 1.959309081 1.959349931
53240 1.976027092 1.642390636 1.642390636 0.333636456	1.642415544 1.974227914 1.972279021 1.973243922 1.971849478 1.973200870 1.973365215 1.948224853 1.946160507 1.946160507 1.949886746 1.949886746 1.946805298
58080 1.976027092 1.642390636 1.642390636 0.333636456	1.642415544 1.973391498 1.971283983 1.972208120 1.970893299 1.972114702 1.972166190 1.946437992 1.943838840 1.943838840 1.949249300 1.949249300 1.944507106
62920 1.976027092 1.642390636 1.642390636 0.333636456	1.642415544 1.956278441 1.957214148 1.956625863 1.957071376 1.955934490 1.956068283 1.929950478 1.927383337 1.927383337 1.936224810 1.936224810 1.931374997
67760 1.976027092 1.642390636 1.642390636 0.333636456	1.642415544 1.936977187 1.944847998 1.941316632 1.945179502 1.942037574 1.942317646 1.923738408 1.922800320 1.922800320 1.929649480 1.929649480 1.928145416
72600 1.976027092 1.642390636 1.642390636 0.333636456	1.642415544 1.930083921 1.937020492 1.931693013 1.937127996 1.932613004 1.932656539 1.912906782 1.910233453 1.910233453 1.921024236 1.921024236 1.915478401
77440 1.976027092 1.642390636 1.642390636 0.333636456	1.642415544 1.919018726 1.921821617 1.915810813 1.922425085 1.915080774 1.915171813 1.906983395 1.904670984 1.904670984 1.905401305 1.905401305 1.905495932
82280 1.976027092 1.642390636 1.642390636 0.333636456	1.642415544 1.874588764 1.879283005 1.876106258 1.881366044 1.873540777 1.874116284 1.789196127 1.772884272 1.772884272 1.785241176 1.785241176 1.775400758
87120 1.976027092 1.642390636 1.642390636 0.333636456	1.642415544 1.732266693 1.733913071 1.725194787 1.734031262 1.722982143 1.724060161 1.670691690 1.656661057 1.656661057 1.656253100 1.656253100 1.658391206
91960 1.976027092 1.642390636 1.642390636 0.333636456	1.642415544 1.664048883 1.663617809 1.662501878 1.662358044 1.656626224 1.656467645 1.655653203 1.655371150 1.655371150 1.650889407 1.650889407 1.656670740
48400 2.031555462 1.719520422 1.719520422 0.312035040	1.719542720 2.030515379 2.028870938 2.030444157 2.028980600 2.030213108 2.030152851 2.015855327 2.015772808 2.015772808 2.016458848 2.016458848 2.015820024
53240 2.031555462 1.719520422 1.719520422 0.312035040	1.719542720 2.029184204 2.026721801 2.028922494 2.026745058 2.028498288 2.028526963 2.005313511 2.003444826 2.003444826 2.007876377 2.007876377 2.004617735
58080 2.031555462 1.719520422 1.719520422 0.312035040	1.719542720 2.028165827 2.024918170 2.027307655 2.025047367 2.026814337 2.026955155 2.003673415 2.000894295 2.000894295 2.007084904 2.007084904 2.002918383
62920 2.031555462 1.719520422 1.719520422 0.312035040	1.719542720 2.011576536 2.013632429 2.013529364 2.013722607 2.013884509 2.013525307 1.988568034 1.985945273 1.985945273 1.994747859 1.994747859 1.988494057
67760 2.031555462 1.719520422 1.719520422 0.312035040	1.719542720 1.995860401 2.004241610 2.000117264 2.004225800 1.999982334 1.999936983 1.982905287 1.981746354 1.981746354 1.984421986 1.984421986 1.984029765
72600 2.031555462 1.719520422 1.719520422 0.312035040	1.719542720 1.989459637 1.997328035 1.991732853 1.996808383 1.992433163 1.992405160 1.971731355 1.968781942 1.968781942 1.974471846 1.974471846 1.965073414
77440 2.031555462 1.719520422 1.719520422 0.312035040	1.719542720 1.978743204 1.983868992 1.974374035 1.983522172 1.976498650 1.976392246 1.966960975 1.964521399 1.964521399 1.960088811 1.960088811 1.958982457
82280 2.031555462 1.719520422 1.719520422 0.312035040	1.719542720 1.938792959 1.942757628 1.934896472 1.944108420 1.936428124 1.935694140 1.854751865 1.836776273 1.836776273 1.845597425 1.845597425 1.839306611
87120 2.031555462 1.719520422 1.719520422 0.312035040	1.719542720 1.803110583 1.803762423 1.797288000 1.803933870 1.792116207 1.791295675 1.744351213 1.728816247 1.728816247 1.728057052 1.728057052 1.730607070
91960 2.031555462 1.719520422 1.719520422 0.312035040	1.719542720 1.735536903 1.735988903 1.735007985 1.735364792 1.729805220 1.729581465 1.727909480 1.727765806 1.727765806 1.724960077 1.724960077 1.727751174
48400 2.036107074 1.726780571 1.726780571 0.309326503	1.726800956 2.034863794 2.033332636 2.034781247 2.033441757 2.034532928 2.034592500 2.020023899 2.019859998 2.019859998 2.020384949 2.020384949 2.019997471
53240 2.036107074 1.726780571 1.726780571 0.309326503	1.726800956 2.033268360 2.031177412 2.033112684 2.031428207 2.033188061 2.033313191 2.008203958 2.006839445 2.006839445 2.011321044 2.011321044 2.007819753
58080 2.036107074 1.726780571 1.726780571 0.309326503	1.726800956 2.032014119 2.030182959 2.031860012 2.030269374 2.031623950 2.031679541 2.006599174 2.003875791 2.003875791 2.011256770 2.011256770 2.006500812
62920 2.036107074 1.726780571 1.726780571 0.309326503	1.726800956 2.016377372 2.017737926 2.017300740 2.018041333 2.018785646 2.018646227 1.991307767 1.988752358 1.988752358 1.997827867 1.997827867 1.990026441
67760 2.036107074 1.726780571 1.726780571 0.309326503	1.726800956 1.999423501 2.007827739 2.003369568 2.008220379 2.003685208 2.003493704 1.985248125 1.984370836 1.984370836 1.987698042 1.987698042 1.985621672
72600 2.036107074 1.726780571 1.726780571 0.309326503	1.726800956 1.993237235 1.999289914 1.995277316 1.999541874 1.994128743 1.993680189 1.974048490 1.970883325 1.970883325 1.977269848 1.977269848 1.967179868
77440 2.036107074 1.726780571 1.726780571 0.309326503	1.726800956 1.981481017 1.983915380 1.978036390 1.983603144 1.976712186 1.976676104 1.968270952 1.965109666 1.965109666 1.960461323 1.960461323 1.960254249
82280 2.036107074 1.726780571 1.726780571 0.309326503	1.726800956 1.937227130 1.941281059 1.937484179 1.941361396 1.937562174 1.937103863 1.856238369 1.837864256 1.837864256 1.845640238 1.845640238 1.839818843
87120 2.036107074 1.726780571 1.726780571 0.309326503	1.726800956 1.802562769 1.804898993 1.797092817 1.804037825 1.795285265 1.795211832 1.749362179 1.735807016 1.735807016 1.733715056 1.733715056 1.738688673
91960 2.036107074 1.726780571 1.726780571 0.309326503	1.726800956 1.742329681 1.741549460 1.740729806 1.741310799 1.736276198 1.736290646 1.735416304 1.734351184 1.734351184 1.731103048 1.731103048 1.735646463
48400 2.011908715 1.695889267 1.695889267 0.316019448	1.695912180 2.010333670 2.009150188 2.010529808 2.009304925 2.010658373 2.010638518 1.995206665 1.994199786 1.994199786 1.995935674 1.995935674 1.995289172
53240 2.011908715 1.695889267 1.695889267 0.316019448	1.695912180 2.009277498 2.007906360 2.008748179 2.008134426 2.008710765 2.008708002 1.984510048 1.982754279 1.982754279 1.985995957 1.985995957 1.983988037
58080 2.011908715 1.695889267 1.695889267 0.316019448	1.695912180 2.008596063 2.006552538 2.007278839 2.006817228 2.006838939 2.006864604 1.983475307 1.980893162 1.980893162 1.985832391 1.985832391 1.982722586
62920 2.011908715 1.695889267 1.695889267 0.316019448	1.695912180 1.991967382 1.992570790 1.992312169 1.992215181 1.990509517 1.990717597 1.965793746 1.962560579 1.962560579 1.973053504 1.973053504 1.965561152
67760 2.011908715 1.695889267 1.695889267 0.316019448	1.695912180 1.974754747 1.982106318 1.978257927 1.982426723 1.976087962 1.977346954 1.960312966 1.958600889 1.958600889 1.964566967 1.964566967 1.961070172
72600 2.011908715 1.695889267 1.695889267 0.316019448	1.695912180 1.968393144 1.974747156 1.971348704 1.974511947 1.968091629 1.969168369 1.949224662 1.946556099 1.946556099 1.953817720 1.953817720 1.944303375
77440 2.011908715 1.695889267 1.695889267 0.316019448	1.695912180 1.957932570 1.961210209 1.955456146 1.960542959 1.952979838 1.953824242 1.944871652 1.941784109 1.941784109 1.938125514 1.938125514 1.937635953
82280 2.011908715 1.695889267 1.695889267 0.316019448	1.695912180 1.914863653 1.921068900 1.917057701 1.920603868 1.913282008 1.913585807 1.830561473 1.813141885 1.813141885 1.825157963 1.825157963 1.818253662
87120 2.011908715 1.695889267 1.695889267 0.316019448	1.695912180 1.776652650 1.778552079 1.772247944 1.778301814 1.766793320 1.768463788 1.720798433 1.707396277 1.707396277 1.704568523 1.704568523 1.711840948
91960 2.011908715 1.695889267 1.695889267 0.316019448	1.695912180 1.714826416 1.713273572 1.712880390 1.713843983 1.706237154 1.706139099 1.707124521 1.706492821 1.706492821 1.704181055 1.704181055 1.708333079
48400 1.960064260 1.627059786 1.627059786 0.333004474	1.627082419 1.958856960 1.957820395 1.958898930 1.957807618 1.958853802 1.958825407 1.943463084 1.943472763 1.943472763 1.943944701 1.943944701 1.943739254
53240 1.960064260 1.627059786 1.627059786 0.333004474	1.627082419 1.957593894 1.956075755 1.957147993 1.956063939 1.957546325 1.957482355 1.931186545 1.929399323 1.929399323 1.934349050 1.934349050 1.930095984
58080 1.960064260 1.627059786 1.627059786 0.333004474	1.627082419 1.956680130 1.954907054 1.955716578 1.955075089 1.956298204 1.956240054 1.929781221 1.927123848 1.927123848 1.933776093 1.933776093 1.928431018
62920 1.960064260 1.627059786 1.627059786 0.333004474	1.627082419 1.938380805 1.941263427 1.939082357 1.941606577 1.941505886 1.941130696 1.913849913 1.911182220 1.911182220 1.920499779 1.920499779 1.914111470
