capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp	optimal_time_infinite_case order_of_submission order_of_optimal_strategy_infinite_memory increasing_order_of_communication_strategy decreasing_order_of_computation_strategy increasing_order_of_communication_plus_computation_strategy decreasing_order_of_communication_plus_computation_strategy largest_communication_task_respects_memory_restriction smallest_communication_task_respects_memory_restriction maximum_accelerated_task_respects_memory_restriction optimal_order_infinite_memory_largest_communication_task_respects_memory_restriction optimal_order_infinite_memory_smallest_communication_task_respects_memory_restriction optimal_order_infinite_memory_maximum_accelerated_task_respects_memory_restriction
41140 0.168953671 0.137658618 0.137658618 0.031295053	0.137668956 0.161099977 0.161557083 0.161093893 0.162351544 0.158645553 0.159519833 0.154160987 0.153270652 0.153270652 0.154054127 0.154054127 0.154103963
43560 0.168953671 0.137658618 0.137658618 0.031295053	0.137668956 0.148909199 0.149219017 0.149190690 0.149612272 0.145495391 0.147085223 0.143343614 0.142173628 0.142173628 0.141988075 0.141988075 0.143420213
45980 0.168953671 0.137658618 0.137658618 0.031295053	0.137668956 0.142909467 0.143368458 0.143615392 0.143591896 0.139973808 0.140599044 0.141504523 0.141826595 0.141826595 0.140921571 0.140921571 0.141251197
24200 0.171685982 0.141788414 0.141788414 0.029897568	0.141798244 0.171591994 0.171151997 0.171421644 0.171171950 0.171567904 0.171558936 0.169992709 0.169952726 0.169952726 0.169981728 0.169981728 0.169989973
26620 0.171685982 0.141788414 0.141788414 0.029897568	0.141798244 0.171544650 0.171138035 0.171411814 0.171157988 0.171552481 0.171549106 0.169958846 0.169943386 0.169943386 0.169957852 0.169957852 0.169966097
29040 0.171685982 0.141788414 0.141788414 0.029897568	0.141798244 0.171544650 0.171124095 0.171397874 0.171144048 0.171524078 0.171518385 0.169952790 0.169910879 0.169910879 0.169957852 0.169957852 0.169966097
31460 0.171685982 0.141788414 0.141788414 0.029897568	0.141798244 0.170094159 0.170001521 0.169953023 0.169962180 0.168668714 0.169869592 0.167864089 0.167363756 0.167363756 0.168876385 0.168876385 0.167837254
33880 0.171685982 0.141788414 0.141788414 0.029897568	0.141798244 0.168493605 0.168807875 0.168381377 0.168840068 0.167087838 0.166710107 0.167519645 0.167528691 0.167528691 0.168428464 0.168428464 0.168216348
36300 0.171685982 0.141788414 0.141788414 0.029897568	0.141798244 0.168302129 0.168755814 0.168179366 0.168814670 0.166881723 0.166523200 0.167622170 0.167474915 0.167474915 0.167918524 0.167918524 0.168235018
38720 0.171685982 0.141788414 0.141788414 0.029897568	0.141798244 0.168302129 0.168755814 0.168161847 0.168814670 0.166881723 0.166523200 0.167652366 0.167474915 0.167474915 0.167918524 0.167918524 0.168210825
41140 0.171685982 0.141788414 0.141788414 0.029897568	0.141798244 0.164459712 0.165171062 0.164615725 0.165508280 0.163037118 0.162785155 0.158264554 0.157628065 0.157628065 0.158054377 0.158054377 0.158195199
43560 0.171685982 0.141788414 0.141788414 0.029897568	0.141798244 0.153074482 0.153909725 0.153189610 0.154179892 0.150551998 0.150522829 0.147530761 0.145654204 0.145654204 0.146518484 0.146518484 0.147211855
45980 0.171685982 0.141788414 0.141788414 0.029897568	0.141798244 0.146688685 0.147285084 0.147247861 0.147436364 0.144022562 0.144330259 0.145654513 0.145655166 0.145655166 0.144946466 0.144946466 0.146319666
24200 0.166779140 0.135085989 0.135085989 0.031693151	0.135097253 0.166648954 0.166289128 0.166589849 0.166359212 0.166619162 0.166617311 0.164693906 0.164683514 0.164683514 0.164739966 0.164739966 0.164703723
26620 0.166779140 0.135085989 0.135085989 0.031693151	0.135097253 0.166558772 0.166219726 0.166504120 0.166337899 0.166541124 0.166526978 0.164629423 0.164618192 0.164618192 0.164691863 0.164691863 0.164715946
29040 0.166779140 0.135085989 0.135085989 0.031693151	0.135097253 0.166541074 0.166174074 0.166455170 0.166221465 0.166491029 0.166491948 0.164630021 0.164653340 0.164653340 0.164694394 0.164694394 0.164705060
31460 0.166779140 0.135085989 0.135085989 0.031693151	0.135097253 0.165234780 0.164648059 0.164507714 0.164688983 0.164835916 0.164769610 0.162305689 0.161985868 0.161985868 0.163122435 0.163122435 0.162260371
33880 0.166779140 0.135085989 0.135085989 0.031693151	0.135097253 0.163081786 0.163328360 0.162742345 0.163282609 0.162575852 0.162667431 0.161788298 0.161788510 0.161788510 0.162478671 0.162478671 0.162488500
36300 0.166779140 0.135085989 0.135085989 0.031693151	0.135097253 0.162749306 0.163125351 0.162488628 0.163095491 0.162380642 0.162518847 0.161824842 0.161636787 0.161636787 0.162486581 0.162486581 0.162534440
38720 0.166779140 0.135085989 0.135085989 0.031693151	0.135097253 0.162749306 0.163125351 0.162479081 0.163095491 0.162380642 0.162518847 0.161718687 0.161621476 0.161621476 0.162402892 0.162402892 0.162520498
41140 0.166779140 0.135085989 0.135085989 0.031693151	0.135097253 0.159451570 0.159954268 0.159462067 0.159897871 0.159321713 0.159396342 0.152870060 0.151800620 0.151800620 0.152420722 0.152420722 0.152527372
43560 0.166779140 0.135085989 0.135085989 0.031693151	0.135097253 0.147358410 0.148218946 0.147847504 0.148219924 0.146949065 0.146311709 0.141419811 0.139477994 0.139477994 0.139683628 0.139683628 0.141040209
45980 0.166779140 0.135085989 0.135085989 0.031693151	0.135097253 0.140306761 0.141234171 0.141389471 0.141145288 0.138900126 0.139465134 0.139121085 0.139078296 0.139078296 0.138355021 0.138355021 0.138903518
24200 0.190841657 0.162922112 0.162922112 0.027919545	0.162932471 0.190746664 0.190088843 0.190681213 0.190054843 0.190617435 0.190535401 0.189003230 0.188967903 0.188967903 0.189032162 0.189032162 0.189051679
26620 0.190841657 0.162922112 0.162922112 0.027919545	0.162932471 0.190716706 0.190057291 0.190620247 0.190023291 0.190592900 0.190509722 0.188972942 0.188925396 0.188925396 0.189004626 0.189004626 0.189009824
29040 0.190841657 0.162922112 0.162922112 0.027919545	0.162932471 0.190688332 0.190057291 0.190620247 0.190023291 0.190577125 0.190494099 0.188972965 0.188930286 0.188930286 0.189004626 0.189004626 0.189009824
31460 0.190841657 0.162922112 0.162922112 0.027919545	0.162932471 0.189155172 0.189013632 0.189068111 0.188950205 0.189079752 0.189028982 0.186527170 0.186555233 0.186555233 0.187858427 0.187858427 0.186686100
33880 0.190841657 0.162922112 0.162922112 0.027919545	0.162932471 0.187086604 0.188013078 0.187115866 0.188019621 0.187210535 0.187249225 0.186198561 0.186317496 0.186317496 0.186611786 0.186611786 0.186598730
36300 0.190841657 0.162922112 0.162922112 0.027919545	0.162932471 0.186870475 0.187914800 0.186944597 0.187921343 0.187025256 0.186989586 0.186477245 0.186309188 0.186309188 0.186301814 0.186301814 0.186494029
38720 0.190841657 0.162922112 0.162922112 0.027919545	0.162932471 0.186870475 0.187914800 0.186944597 0.187921343 0.187025256 0.186989586 0.186161686 0.186084867 0.186084867 0.186292498 0.186292498 0.186503023
41140 0.190841657 0.162922112 0.162922112 0.027919545	0.162932471 0.183436739 0.184300876 0.183690352 0.184921651 0.183784286 0.182207102 0.177866286 0.176951330 0.176951330 0.177345950 0.177345950 0.176938459
43560 0.190841657 0.162922112 0.162922112 0.027919545	0.162932471 0.173140314 0.173568150 0.172746916 0.173664035 0.170088766 0.171204999 0.168544105 0.166519312 0.166519312 0.166996627 0.166996627 0.167088894
45980 0.190841657 0.162922112 0.162922112 0.027919545	0.162932471 0.167183076 0.167820430 0.167708776 0.168015212 0.164673600 0.165164880 0.166466762 0.166145994 0.166145994 0.165574614 0.165574614 0.165867835
24200 0.182761528 0.154588617 0.154588617 0.028172911	0.154598819 0.182707271 0.182320154 0.182632457 0.182320154 0.182662805 0.182636707 0.181112836 0.181109953 0.181109953 0.181135320 0.181135320 0.181145443
26620 0.182761528 0.154588617 0.154588617 0.028172911	0.154598819 0.182642582 0.182264684 0.182541691 0.182264684 0.182628441 0.182581866 0.181106567 0.181087704 0.181087704 0.181157058 0.181157058 0.181155395
29040 0.182761528 0.154588617 0.154588617 0.028172911	0.154598819 0.182642582 0.182209809 0.182510472 0.182209809 0.182573600 0.182521865 0.181106567 0.181087704 0.181087704 0.181157058 0.181157058 0.181155395
31460 0.182761528 0.154588617 0.154588617 0.028172911	0.154598819 0.181463256 0.180983902 0.180962289 0.181217820 0.180949440 0.181052340 0.179099343 0.178906807 0.178906807 0.180198876 0.180198876 0.179223493
33880 0.182761528 0.154588617 0.154588617 0.028172911	0.154598819 0.179835047 0.179973687 0.179477788 0.180165133 0.178281825 0.179633006 0.178847736 0.178877570 0.178877570 0.179738802 0.179738802 0.179669458
36300 0.182761528 0.154588617 0.154588617 0.028172911	0.154598819 0.179541519 0.179863268 0.179280363 0.179978745 0.178065678 0.179393543 0.178741083 0.178828050 0.178828050 0.179735297 0.179735297 0.179707471
38720 0.182761528 0.154588617 0.154588617 0.028172911	0.154598819 0.179541519 0.179863268 0.179280363 0.179978745 0.178065678 0.179393543 0.178866633 0.178737782 0.178737782 0.179719674 0.179719674 0.179727518
41140 0.182761528 0.154588617 0.154588617 0.028172911	0.154598819 0.176264419 0.176658968 0.176039086 0.176933931 0.174843392 0.176224246 0.169732716 0.169184873 0.169184873 0.170296856 0.170296856 0.170090049
