optimal_time_infinite_case order_of_submission order_of_optimal_strategy_infinite_memory increasing_order_of_communication_strategy decreasing_order_of_computation_strategy increasing_order_of_communication_plus_computation_strategy decreasing_order_of_communication_plus_computation_strategy largest_communication_task_respects_memory_restriction smallest_communication_task_respects_memory_restriction maximum_accelerated_task_respects_memory_restriction optimal_order_infinite_memory_largest_communication_task_respects_memory_restriction optimal_order_infinite_memory_smallest_communication_task_respects_memory_restriction optimal_order_infinite_memory_maximum_accelerated_task_respects_memory_restriction
0.444428072 0.615123635 0.618158075 0.610523024 0.618527191 0.600111258 0.600269296 0.574318850 0.561124238 0.561124238 0.561908538 0.561908538 0.578105050
0.444428072 0.569575628 0.574906321 0.572533199 0.570142021 0.555411974 0.555620765 0.562548019 0.558959021 0.558959021 0.555049952 0.555049952 0.568753745
0.470674039 0.791764369 0.795035586 0.803508462 0.791695125 0.794849067 0.794614086 0.779812510 0.778594480 0.778594480 0.780909259 0.780909259 0.782235775
0.470674039 0.790532856 0.793602712 0.800266428 0.789807282 0.792952755 0.792853622 0.771215567 0.770983501 0.770983501 0.771922848 0.771922848 0.776123458
0.470674039 0.789429789 0.792094400 0.797354539 0.788266858 0.791013934 0.791107938 0.770521886 0.768323004 0.768323004 0.770834089 0.770834089 0.775056980
0.470674039 0.776728153 0.780913273 0.776557983 0.778660397 0.773077847 0.773457580 0.741327037 0.722451198 0.722451198 0.759969114 0.759969114 0.739172770
0.470674039 0.763977800 0.769076514 0.750449903 0.768361550 0.754143284 0.755879183 0.738913075 0.720178160 0.720178160 0.749104531 0.749104531 0.741220809
0.470674039 0.759150760 0.763086828 0.742613784 0.762559544 0.747007253 0.747523103 0.732805689 0.709287723 0.709287723 0.741849089 0.741849089 0.736696067
0.470674039 0.750853510 0.753963521 0.731608181 0.752931558 0.735545544 0.736063974 0.730035289 0.708087416 0.708087416 0.739250880 0.739250880 0.735260306
0.470674039 0.719537374 0.720556246 0.702764988 0.721894753 0.705018053 0.705438860 0.655179238 0.614612923 0.614612923 0.649083017 0.649083017 0.642468091
0.470674039 0.614793184 0.618035811 0.607381061 0.615938680 0.597253816 0.597541933 0.571656283 0.556837405 0.556837405 0.552841846 0.552841846 0.575035818
0.470674039 0.565503829 0.569090662 0.566278950 0.566193230 0.547815975 0.547975615 0.556121464 0.554257727 0.554257727 0.544716037 0.544716037 0.563038032
0.470399298 0.788119528 0.791616902 0.800554569 0.788187092 0.791098987 0.791019120 0.776695553 0.775010009 0.775010009 0.777122561 0.777122561 0.778326415
0.470399298 0.786720487 0.789453871 0.796720214 0.786336969 0.789198708 0.788939748 0.767871888 0.766554112 0.766554112 0.767328461 0.767328461 0.771471790
0.470399298 0.785410679 0.787899971 0.794344792 0.785092017 0.787395251 0.787174521 0.765850046 0.764603057 0.764603057 0.765499602 0.765499602 0.770585116
0.470399298 0.773207718 0.776564921 0.771871319 0.773797240 0.772074233 0.772579927 0.737307197 0.720236134 0.720236134 0.753251929 0.753251929 0.733461110
0.470399298 0.759317011 0.764043430 0.744658056 0.763536698 0.752258777 0.752349594 0.735484271 0.715268396 0.715268396 0.739890853 0.739890853 0.733132374
0.470399298 0.754477743 0.757013133 0.737446426 0.756774507 0.743901189 0.744109239 0.726829057 0.706370192 0.706370192 0.737977057 0.737977057 0.731081580
0.470399298 0.745405606 0.746560209 0.726098253 0.745292863 0.731462298 0.731660670 0.721968305 0.702370524 0.702370524 0.734413398 0.734413398 0.729834365
0.470399298 0.710574668 0.713178331 0.697146196 0.711851810 0.700140148 0.700141030 0.649717134 0.608414000 0.608414000 0.645086304 0.645086304 0.639139229
0.470399298 0.607370006 0.610691051 0.600828800 0.609165554 0.591098139 0.591015372 0.566572596 0.554759562 0.554759562 0.549514493 0.549514493 0.572443641
0.470399298 0.563318295 0.565869351 0.563223168 0.563101233 0.548358301 0.548215049 0.554187642 0.552317319 0.552317319 0.543029260 0.543029260 0.560374574
0.463091582 0.788446058 0.792928357 0.800500105 0.788735804 0.791558461 0.791345214 0.777412776 0.774831863 0.774831863 0.776815798 0.776815798 0.779678458
0.463091582 0.787403608 0.791026526 0.796979293 0.787634477 0.789440343 0.789415198 0.769580427 0.767744159 0.767744159 0.768703055 0.768703055 0.773426740
0.463091582 0.786829011 0.789355714 0.794282284 0.786390973 0.787581488 0.787583087 0.767544448 0.766275589 0.766275589 0.768425235 0.768425235 0.772788199
