capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp	OMIM OS OOSIM IOCMS DOCPS IOCCS DOCCS LCMR SCMR MAMR OOLCMR OOSCMR OOMAMR	lp-3 lp-4 lp-5 lp-6
176400 1.151277372 1.047510764 1.047510764 0.103766608	1.047533225 1.145322510 1.145617848 1.148339544 1.145263687 1.148313355 1.148275343 1.144055197 1.144082413 1.144082413 1.144576372 1.144576372 1.144656503	1.141544916 1.139127180 1.139359401 1.138537575
198450 1.151277372 1.047510764 1.047510764 0.103766608	1.047533225 1.145322510 1.145617848 1.148339544 1.145263687 1.148313355 1.148275343 1.144055197 1.144082413 1.144082413 1.144576372 1.144576372 1.144656503	1.141546264 1.139111926 1.138561073 1.138660131
220500 1.151277372 1.047510764 1.047510764 0.103766608	1.047533225 1.145150895 1.145617848 1.148249136 1.145263687 1.148313355 1.148275343 1.142578468 1.141907976 1.141907976 1.144232749 1.144232749 1.142546925	1.141119599 1.136239271 1.138903943 1.138137067
242550 1.151277372 1.047510764 1.047510764 0.103766608	1.047533225 1.143836740 1.144593443 1.144162304 1.144615745 1.144148116 1.143816709 1.131165294 1.124997890 1.124997890 1.139959012 1.139959012 1.127950589	1.121192334 1.121348276 1.119630439 1.125944753
264600 1.151277372 1.047510764 1.047510764 0.103766608	1.047533225 1.140384924 1.141862193 1.131052461 1.141524225 1.130301935 1.130099878 1.128132171 1.119922725 1.119922725 1.119266837 1.119266837 1.122073245	1.094860760 1.103782140 1.110395098 1.111764450
286650 1.151277372 1.047510764 1.047510764 0.103766608	1.047533225 1.140384924 1.141862193 1.131052461 1.141524225 1.130301935 1.130099878 1.127136956 1.118334548 1.118334548 1.118449817 1.118449817 1.120817915	1.095057469 1.104295012 1.110942008 1.112171133
308700 1.151277372 1.047510764 1.047510764 0.103766608	1.047533225 1.133070945 1.133719738 1.124349047 1.133677854 1.124621684 1.125062199 1.113431977 1.102693746 1.102693746 1.105731889 1.105731889 1.105245601	1.091844624 1.098898153 1.103536063 1.104270462
330750 1.151277372 1.047510764 1.047510764 0.103766608	1.047533225 1.088004292 1.093621416 1.088152947 1.091384591 1.086025238 1.086661015 1.064912301 1.053978917 1.053978917 1.061592877 1.061592877 1.055526925	1.070097376 1.070106720 1.066564844 1.070144379
352800 1.151277372 1.047510764 1.047510764 0.103766608	1.047533225 1.052929583 1.054924507 1.055811152 1.054138130 1.053348032 1.053411381 1.052841466 1.052877348 1.052877348 1.053537131 1.053537131 1.054533489	1.053288727 1.055216193 1.055531522 1.055280160
