capacity sum_comm_comp max(sum_comm,sum_comp) sum_comm sum_comp OMIM OS GG BP OOSIM IOCMS DOCPS IOCCS DOCCS LCMR SCMR MAMR OOLCMR OOSCMR OOMAMR  
3672088576 3546.279020652 2844.379780181 2844.379780181 701.899240471 2844.379791730 2936.700798987 2844.379793959 2931.786173949 2998.613588866 2978.751509989 2930.243449809 3024.436214216 2927.676305160 2904.763273365 2934.984346882 2934.984346882 2918.286329685 2918.286329685 2994.359741015  
1836044288 3851.458851773 2846.194544607 2846.194544607 1005.264307166 2846.194556290 3296.068743712 3056.785084222 3279.766151723 3212.818187466 3152.679547087 3186.109295582 3140.658511534 3101.858941441 3021.095068613 3044.038471696 3044.038471696 3058.706078763 3058.706078763 3136.691876188  
2065549824 3851.458851773 2846.194544607 2846.194544607 1005.264307166 2846.194556290 3201.902851881 3027.434559238 3137.520960822 3212.736260023 3092.923564567 3171.881777066 3129.934648089 3082.192171561 2965.406208995 2967.210678589 2967.210678589 2990.851036010 2990.851036010 3138.159087243  
2524560896 3851.458851773 2846.194544607 2846.194544607 1005.264307166 2846.194556290 3079.042285474 3003.369733670 3073.431765058 3212.362728146 3011.620017068 3136.572355194 3097.412306171 3012.168871258 2906.976688499 2937.645341407 2937.645341407 2859.921924472 2859.921924472 3104.153689909  
2754066432 3851.458851773 2846.194544607 2846.194544607 1005.264307166 2846.194556290 3028.364457716 2881.986833147 3018.033632570 3092.477621352 2891.560196927 3093.380640820 3030.863817521 2948.876204186 2847.293016345 2847.293016345 2847.293016345 2911.676828647 2911.676828647 3070.176061281  
2983571968 3851.458851773 2846.194544607 2846.194544607 1005.264307166 2846.194556290 3028.121501927 2864.768988426 2946.800865146 3092.437563991 2882.156399675 3082.127171327 3029.987277956 2940.626432416 2847.293016345 2847.293016345 2847.293016345 2891.719959692 2891.719959692 3078.604557315  
3213077504 3851.458851773 2846.194544607 2846.194544607 1005.264307166 2846.194556290 2945.706795034 2864.768988426 2961.823388156 3092.091264272 2851.345690946 3080.110420876 3029.769764415 2926.403529294 2847.293016345 2847.293016345 2847.293016345 2886.031652953 2886.031652953 3067.138673848  
3442583040 3851.458851773 2846.194544607 2846.194544607 1005.264307166 2846.194556290 2936.069506496 2846.194556290 2876.334175994 3039.328734794 2851.345690946 3068.854934825 3026.978540535 2926.403529294 2847.293016345 2847.293016345 2847.293016345 2902.669268073 2902.669268073 3060.060370026  
3672088576 3851.458851773 2846.194544607 2846.194544607 1005.264307166 2846.194556290 2919.795777925 2846.194556290 2928.381478053 3039.328734794 2851.108792282 3066.613079260 3026.978540535 2913.133737662 2847.293016345 2847.293016345 2847.293016345 2904.809057962 2904.809057962 3075.891414412  
1836044288 2883.059719115 2064.027029594 2064.027029594 819.032689521 2064.027040503 2489.044409808 2317.064381562 2382.879180216 2432.742713954 2386.727813555 2414.579300174 2380.202207314 2362.191674370 2245.872564236 2333.535018573 2333.535018573 2257.207440890 2257.207440890 2374.022587504  
2065549824 2883.059719115 2064.027029594 2064.027029594 819.032689521 2064.027040503 2374.075219894 2250.627207294 2364.271799936 2432.742713954 2384.511951840 2401.118575480 2364.511981364 2311.703934645 2189.722742711 2321.497011123 2321.497011123 2213.994580891 2213.994580891 2371.090085725  
2524560896 2883.059719115 2064.027029594 2064.027029594 819.032689521 2064.027040503 2316.927998233 2250.376176552 2264.877453957 2410.720911430 2225.124888196 2390.298589575 2364.136228225 2308.891507765 2130.656569825 2271.335838937 2271.335838937 2190.111260023 2190.111260023 2347.486661948  
2754066432 2883.059719115 2064.027029594 2064.027029594 819.032689521 2064.027040503 2256.805090720 2175.070557147 2209.387690815 2372.432748689 2174.917418670 2352.023677364 2325.471993304 2256.650016444 2094.410767823 2240.463073000 2240.463073000 2151.911291051 2151.911291051 2343.392378310  
2983571968 2883.059719115 2064.027029594 2064.027029594 819.032689521 2064.027040503 2230.805979768 2129.974660136 2161.934551444 2354.651826034 2169.583837235 2347.505638100 2325.471993304 2256.650016444 2096.698645399 2241.016207490 2241.016207490 2138.680529462 2138.680529462 2259.237652092  
3213077504 2883.059719115 2064.027029594 2064.027029594 819.032689521 2064.027040503 2184.308916981 2109.879390902 2249.511699283 2354.651826034 2161.745539789 2341.584353589 2325.471993304 2241.961709219 2115.162374806 2211.504422067 2211.504422067 2147.256268509 2147.256268509 2281.827386606  
3442583040 2883.059719115 2064.027029594 2064.027029594 819.032689521 2064.027040503 2151.821699368 2104.381338214 2283.056407484 2326.367706482 2154.647677256 2333.647762357 2325.121513610 2241.961709219 2088.359015065 2181.774501166 2181.774501166 2091.720094503 2091.720094503 2270.122462602  
3672088576 2883.059719115 2064.027029594 2064.027029594 819.032689521 2064.027040503 2141.790874335 2079.120381382 2149.252713869 2326.367706482 2149.234141997 2331.493107733 2325.121513610 2228.365896892 2129.570738508 2181.250423243 2181.250423243 2145.285743231 2145.285743231 2297.898069371  
1836044288 3401.169982585 2631.160838986 2631.160838986 770.009143599 2631.160850742 2842.198619570 2662.477937616 2886.526754131 2799.894800081 2807.741397240 2793.674903274 2766.377847622 2718.610561970 2683.287763790 2804.111317214 2804.111317214 2694.067733786 2694.067733786 2753.669239259  
2065549824 3401.169982585 2631.160838986 2631.160838986 770.009143599 2631.160850742 2798.900114406 2643.228508895 2795.959809460 2793.520630060 2807.369202544 2780.266287669 2766.377847622 2688.174859422 2661.874699450 2734.640387306 2734.640387306 2712.276347700 2712.276347700 2741.562859876  
2524560896 3401.169982585 2631.160838986 2631.160838986 770.009143599 2631.160850742 2701.481469516 2633.141940094 2754.009674462 2751.846189922 2754.252883856 2729.189879004 2733.654706101 2664.801730213 2631.711411026 2753.175649613 2753.175649613 2662.329861532 2662.329861532 2724.199643277  
2754066432 3401.169982585 2631.160838986 2631.160838986 770.009143599 2631.160850742 2699.726057890 2631.160850742 2728.512797016 2751.846189922 2753.106244133 2727.040767981 2733.654706101 2644.133983181 2631.502470462 2718.416035230 2718.416035230 2689.801085535 2689.801085535 2725.031374698  
