optimal_time_infinite_case order_of_submission order_of_optimal_strategy_infinite_memory increasing_order_of_communication_strategy decreasing_order_of_computation_strategy increasing_order_of_communication_plus_computation_strategy decreasing_order_of_communication_plus_computation_strategy largest_communication_task_respects_memory_restriction smallest_communication_task_respects_memory_restriction maximum_accelerated_task_respects_memory_restriction optimal_order_infinite_memory_largest_communication_task_respects_memory_restriction optimal_order_infinite_memory_smallest_communication_task_respects_memory_restriction optimal_order_infinite_memory_maximum_accelerated_task_respects_memory_restriction
0.346776851 0.561876022 0.565478555 0.568374441 0.561260480 0.562326525 0.562615601 0.550134806 0.548508093 0.548508093 0.550122389 0.550122389 0.553081279
0.346776851 0.553896295 0.556173450 0.555349073 0.553710599 0.551097272 0.551970891 0.534916671 0.518056972 0.518056972 0.532889596 0.532889596 0.533750988
0.346776851 0.544782216 0.545274812 0.538866040 0.546981858 0.540716518 0.540886221 0.532367966 0.515070996 0.515070996 0.519188438 0.519188438 0.537490338
0.346776851 0.541272232 0.541258513 0.534320522 0.542711200 0.536984861 0.536641201 0.529962218 0.508989041 0.508989041 0.543580049 0.543580049 0.534873779
0.346776851 0.535570769 0.535734000 0.527321617 0.536172829 0.529981977 0.529952934 0.526509742 0.504452348 0.504452348 0.544592045 0.544592045 0.534852267
0.346776851 0.513075569 0.515709508 0.509000000 0.515238350 0.509836787 0.510142715 0.474691145 0.442938817 0.442938817 0.477515170 0.477515170 0.475219679
0.346776851 0.443329383 0.444086993 0.440583634 0.444157373 0.431438046 0.433107200 0.417151326 0.409241385 0.409241385 0.410062944 0.410062944 0.418076520
0.346776851 0.413527008 0.416310445 0.414903650 0.413082842 0.401427287 0.402374206 0.409258331 0.407606505 0.407606505 0.406289869 0.406289869 0.412676999
0.364845090 0.573589069 0.579179037 0.583158723 0.573553848 0.576887874 0.576582386 0.566122708 0.565054347 0.565054347 0.566116466 0.566116466 0.568222199
0.364845090 0.572598460 0.577506865 0.580925747 0.572504641 0.575510728 0.574922732 0.560400507 0.559039778 0.559039778 0.560082875 0.560082875 0.563051486
0.364845090 0.571793599 0.575926936 0.579167112 0.571974569 0.574198422 0.573753701 0.559944905 0.557901497 0.557901497 0.559193019 0.559193019 0.562567832
0.364845090 0.561949944 0.565078187 0.563622840 0.563979003 0.563443122 0.563359876 0.542351473 0.527058508 0.527058508 0.546680475 0.546680475 0.549342139
0.364845090 0.552973120 0.554161047 0.546965008 0.556630038 0.552292071 0.552708290 0.542651275 0.525818658 0.525818658 0.554325829 0.554325829 0.549491206
0.364845090 0.549731210 0.549323639 0.541650082 0.552130692 0.547759436 0.548156143 0.536793289 0.518426111 0.518426111 0.552291257 0.552291257 0.548710533
0.364845090 0.543989040 0.543093958 0.534292148 0.545185215 0.540775477 0.541068192 0.531130862 0.514711096 0.514711096 0.553485098 0.553485098 0.549228271
0.364845090 0.520959010 0.521863130 0.512968222 0.522678482 0.517677942 0.517808808 0.484486310 0.454431118 0.454431118 0.486775395 0.486775395 0.478871829
0.364845090 0.455490042 0.455814134 0.451333564 0.454519363 0.447148497 0.446408177 0.428481719 0.421179152 0.421179152 0.422585792 0.422585792 0.429541225
0.364845090 0.426152956 0.427608663 0.426778569 0.424797242 0.418307693 0.418704671 0.420951774 0.419279112 0.419279112 0.418422053 0.418422053 0.424804359
0.336493385 0.555892032 0.559883139 0.565434281 0.554908502 0.558072058 0.558219446 0.547999606 0.546573570 0.546573570 0.548217451 0.548217451 0.549985709
0.336493385 0.554903071 0.558077284 0.562978738 0.553476854 0.556803928 0.556899728 0.542885069 0.541156821 0.541156821 0.541980806 0.541980806 0.545051789
0.336493385 0.554092653 0.557047511 0.561555010 0.552777038 0.555925645 0.555869325 0.541991976 0.540348341 0.540348341 0.541217289 0.541217289 0.544623224
0.336493385 0.544949381 0.547527550 0.546075549 0.545196599 0.544347219 0.544493141 0.522918724 0.507718451 0.507718451 0.524159674 0.524159674 0.530935249
0.336493385 0.534398539 0.537411151 0.527927559 0.538041196 0.533406291 0.532643435 0.521298351 0.506833349 0.506833349 0.534860884 0.534860884 0.529337074
0.336493385 0.530320704 0.532769866 0.522456064 0.534142222 0.527215554 0.527993337 0.516579538 0.498909483 0.498909483 0.533582581 0.533582581 0.526366523
0.336493385 0.524383541 0.526732313 0.515821082 0.527170076 0.519477586 0.520143393 0.515528200 0.496064825 0.496064825 0.533599132 0.533599132 0.527687476
0.336493385 0.503357352 0.505967344 0.496565704 0.505284291 0.498590594 0.498987841 0.467198333 0.436674892 0.436674892 0.467485230 0.467485230 0.464310458
0.336493385 0.435697729 0.436408332 0.431222401 0.435455246 0.425315483 0.426233369 0.407879845 0.400487418 0.400487418 0.400820066 0.400820066 0.405167012
0.336493385 0.406252882 0.407317242 0.406694003 0.404058240 0.394369885 0.395493553 0.400316972 0.398878214 0.398878214 0.396509705 0.396509705 0.403925727
0.345639904 0.563109916 0.568903727 0.574272603 0.563338199 0.566046787 0.565979824 0.556116100 0.554978506 0.554978506 0.556507705 0.556507705 0.558031273
0.345639904 0.562174614 0.567311206 0.571858444 0.561861043 0.564106436 0.564687673 0.550788096 0.549148868 0.549148868 0.551237357 0.551237357 0.553724248
0.345639904 0.561330196 0.566034129 0.570010593 0.561139968 0.563109996 0.563694790 0.549070663 0.547783993 0.547783993 0.550570935 0.550570935 0.552751167
0.345639904 0.551925746 0.555152913 0.553595513 0.553244676 0.552283299 0.553065805 0.531356565 0.517023449 0.517023449 0.537669704 0.537669704 0.537919545
0.345639904 0.543251775 0.545141605 0.535753232 0.546751686 0.540342400 0.541471361 0.529042749 0.516351081 0.516351081 0.518039266 0.518039266 0.538325539
0.345639904 0.540275063 0.540653584 0.530921432 0.542434768 0.536541359 0.537269616 0.524873314 0.509084877 0.509084877 0.542155849 0.542155849 0.537325749
0.345639904 0.534492029 0.534901457 0.524462304 0.535185053 0.528984882 0.529971003 0.520851205 0.504713172 0.504713172 0.542394658 0.542394658 0.534000984
0.345639904 0.512179572 0.513353304 0.504256702 0.513306568 0.506383816 0.507864270 0.473392443 0.442239021 0.442239021 0.474459156 0.474459156 0.472301488
0.345639904 0.443023249 0.442541104 0.438301010 0.442279273 0.429907527 0.431673629 0.415388585 0.407934552 0.407934552 0.407599049 0.407599049 0.416055265
0.345639904 0.412562738 0.414472678 0.414251551 0.411109471 0.401923789 0.402735243 0.407209129 0.407172050 0.407172050 0.402881398 0.402881398 0.411524764
0.338480180 0.553158855 0.558324798 0.563491489 0.552952142 0.554674156 0.555870692 0.545644982 0.544163053 0.544163053 0.546622986 0.546622986 0.547501397
0.338480180 0.552237726 0.556602504 0.561002905 0.551380679 0.552993311 0.554305821 0.540264076 0.539434239 0.539434239 0.538782767 0.538782767 0.543009253
0.338480180 0.551197492 0.555146636 0.558559450 0.550162587 0.551625937 0.552935476 0.538945227 0.537647069 0.537647069 0.539411097 0.539411097 0.542233314
0.338480180 0.542778551 0.545768956 0.542994592 0.543357723 0.541038476 0.543250339 0.521351064 0.506455868 0.506455868 0.535671132 0.535671132 0.525433591
0.338480180 0.534199206 0.535568871 0.526229949 0.536948241 0.531502423 0.532701962 0.519936114 0.505648955 0.505648955 0.509594180 0.509594180 0.524916693
0.338480180 0.529582419 0.530445684 0.520780555 0.532714700 0.527417339 0.528471558 0.516321135 0.499056421 0.499056421 0.532131729 0.532131729 0.527495235
0.338480180 0.524621451 0.524754907 0.514204361 0.526524405 0.519969188 0.520781785 0.514648065 0.496801097 0.496801097 0.532471909 0.532471909 0.522897973
0.338480180 0.502529901 0.502268093 0.494174721 0.504692528 0.498536647 0.499377719 0.463459357 0.434850314 0.434850314 0.465441950 0.465441950 0.463383645
0.338480180 0.433633085 0.434025463 0.430107246 0.433856229 0.425483227 0.426186326 0.406831480 0.400468117 0.400468117 0.400832207 0.400832207 0.402365642
0.338480180 0.405854425 0.407128949 0.406458013 0.403195265 0.396906391 0.397723522 0.400823746 0.399148668 0.399148668 0.395827162 0.395827162 0.403634546
0.337911016 0.558930561 0.564719389 0.569870812 0.558783654 0.561696491 0.560632299 0.551751479 0.550452740 0.550452740 0.552033558 0.552033558 0.554124813
0.337911016 0.557945772 0.562995855 0.567631972 0.557372276 0.560489864 0.559545627 0.545763740 0.544514627 0.544514627 0.545803844 0.545803844 0.548923158
0.337911016 0.557312687 0.561454848 0.565591489 0.556790333 0.559434072 0.558674942 0.545126461 0.543369551 0.543369551 0.545173101 0.545173101 0.548381010
0.337911016 0.548813613 0.550858229 0.549451600 0.550119738 0.548925797 0.548185009 0.529083732 0.512158585 0.512158585 0.525574528 0.525574528 0.534777844
0.337911016 0.539254315 0.540504685 0.531335711 0.542360410 0.537419802 0.538077366 0.524334370 0.511454796 0.511454796 0.514957157 0.514957157 0.533498132
0.337911016 0.535281682 0.535996114 0.526134443 0.538528946 0.532748537 0.533529483 0.520717837 0.503460431 0.503460431 0.537444502 0.537444502 0.532008547
0.337911016 0.529459814 0.529247256 0.518938191 0.531602221 0.524808339 0.525590223 0.518233555 0.500666452 0.500666452 0.537387375 0.537387375 0.532640946
0.337911016 0.505624748 0.507414853 0.499597800 0.509165611 0.503203873 0.502754746 0.468142911 0.436148145 0.436148145 0.468325424 0.468325424 0.464918713
0.337911016 0.438141632 0.439243736 0.434256174 0.437933990 0.427307404 0.427705254 0.411583068 0.403217345 0.403217345 0.403672079 0.403672079 0.406659680
0.337911016 0.408879444 0.410249679 0.409406748 0.406755439 0.398644976 0.398683125 0.403693925 0.402567413 0.402567413 0.399336728 0.399336728 0.406950850
0.358303762 0.566827015 0.572730810 0.576895764 0.566972270 0.570182609 0.570049538 0.559492462 0.557691240 0.557691240 0.559546398 0.559546398 0.561150190
0.358303762 0.565665832 0.570881481 0.574371908 0.565855319 0.568825792 0.568735913 0.554468302 0.552340432 0.552340432 0.554124747 0.554124747 0.556779671
0.358303762 0.564921736 0.569558396 0.572719595 0.565083735 0.567712191 0.567693371 0.553084499 0.551144216 0.551144216 0.553269816 0.553269816 0.555859492
