optimal_time_infinite_case order_of_submission order_of_optimal_strategy_infinite_memory increasing_order_of_communication_strategy decreasing_order_of_computation_strategy increasing_order_of_communication_plus_computation_strategy decreasing_order_of_communication_plus_computation_strategy largest_communication_task_respects_memory_restriction smallest_communication_task_respects_memory_restriction maximum_accelerated_task_respects_memory_restriction optimal_order_infinite_memory_largest_communication_task_respects_memory_restriction optimal_order_infinite_memory_smallest_communication_task_respects_memory_restriction optimal_order_infinite_memory_maximum_accelerated_task_respects_memory_restriction
0.367123873 0.455613341 0.451816044 0.450057703 0.455722486 0.455096459 0.454651639 0.451568333 0.432115254 0.432115254 0.461174530 0.461174530 0.460073257
0.367123873 0.443705474 0.441186548 0.439882343 0.444483498 0.443921621 0.443375801 0.422625879 0.403997096 0.403997096 0.424042088 0.424042088 0.424363330
0.367123873 0.404100740 0.403828200 0.402238691 0.405483073 0.403134867 0.402242878 0.389677667 0.386366436 0.386366436 0.386833252 0.386833252 0.387539465
0.367123873 0.387572675 0.387813695 0.387896324 0.387755534 0.384810713 0.384300756 0.385460283 0.385412763 0.385412763 0.384970393 0.384970393 0.386038692
0.341835039 0.450308148 0.455079947 0.456337738 0.450073752 0.450795250 0.450741352 0.446328317 0.445570560 0.445570560 0.446471503 0.446471503 0.447329319
0.341835039 0.449925150 0.453831181 0.455273882 0.449427714 0.450416953 0.450448237 0.443300812 0.442688832 0.442688832 0.442674610 0.442674610 0.444260229
0.341835039 0.449512371 0.452944372 0.454140874 0.448751429 0.450072606 0.450123414 0.442898470 0.440663127 0.440663127 0.442299005 0.442299005 0.444060520
0.341835039 0.444905700 0.446234615 0.446241646 0.445657957 0.445888319 0.445787085 0.436354287 0.420108174 0.420108174 0.430245862 0.430245862 0.433275441
0.341835039 0.440389782 0.438152962 0.436852202 0.442079055 0.441982822 0.441170317 0.435842497 0.423608708 0.423608708 0.441701447 0.441701447 0.440684614
0.341835039 0.438456009 0.435686686 0.433889867 0.439742306 0.439548469 0.438653307 0.434315875 0.414890753 0.414890753 0.440897924 0.440897924 0.436522471
0.341835039 0.434990780 0.431860108 0.428884071 0.436004012 0.434745737 0.433741922 0.432650732 0.412994570 0.412994570 0.441174948 0.441174948 0.439864425
0.341835039 0.422670511 0.419364348 0.417249240 0.423664194 0.423301971 0.421926789 0.400822241 0.380681783 0.380681783 0.401457826 0.401457826 0.401657489
0.341835039 0.381776406 0.380050638 0.379034786 0.382121115 0.379363787 0.378062751 0.365596011 0.361166951 0.361166951 0.362467929 0.362467929 0.362910944
0.341835039 0.362860551 0.363404081 0.363336553 0.362895143 0.359531180 0.358991503 0.360365825 0.360625516 0.360625516 0.360247785 0.360247785 0.361238285
0.339001419 0.447499374 0.452432728 0.453614649 0.447454950 0.447950894 0.448225144 0.443498329 0.443640880 0.443640880 0.443571654 0.443571654 0.444328416
0.339001419 0.446983454 0.451310835 0.452209977 0.446680716 0.447294863 0.447574750 0.440247923 0.439838662 0.439838662 0.439100992 0.439100992 0.441177440
0.339001419 0.446451013 0.450430414 0.451348214 0.446127469 0.446947655 0.447144147 0.439517549 0.437801616 0.437801616 0.438883114 0.438883114 0.440506851
0.339001419 0.441734911 0.443588182 0.443180114 0.441987636 0.442841691 0.442587256 0.435273765 0.418601149 0.418601149 0.429674777 0.429674777 0.436848781
0.339001419 0.437177614 0.435171526 0.433638365 0.438523396 0.438783226 0.437716356 0.433008047 0.419999442 0.419999442 0.438505866 0.438505866 0.436657496
0.339001419 0.435338191 0.432408323 0.430944162 0.435785666 0.435958847 0.435002565 0.431351534 0.413964509 0.413964509 0.437829579 0.437829579 0.435816084
0.339001419 0.431644158 0.427949961 0.425944388 0.431022405 0.431325918 0.430671672 0.431855248 0.408180565 0.408180565 0.437965182 0.437965182 0.436235983
0.339001419 0.418022269 0.415677836 0.414255058 0.417706412 0.419179502 0.418054171 0.397123245 0.376206305 0.376206305 0.397607721 0.397607721 0.398431613
