capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp	OMIM OS OOSIM IOCMS DOCPS IOCCS DOCCS LCMR SCMR MAMR OOLCMR OOSCMR OOMAMR
286650 1.096167052 0.991011755 0.991011755 0.105155297	0.991038238 1.084423487 1.087320775 1.075074708 1.086136295 1.075035703 1.074729271 1.069429686 1.063810774 1.063810774 1.060661564 1.060661564 1.062327861
308700 1.096167052 0.991011755 0.991011755 0.105155297	0.991038238 1.077308686 1.079956496 1.069002374 1.078897672 1.068388439 1.067542401 1.056923119 1.048306616 1.048306616 1.046675881 1.046675881 1.046293196
330750 1.096167052 0.991011755 0.991011755 0.105155297	0.991038238 1.036177882 1.042157632 1.035400662 1.040726246 1.032586135 1.033075855 1.012278395 1.002907247 1.002907247 1.004178554 1.004178554 1.002577558
176400 1.151087900 1.043420869 1.043420869 0.107667031	1.043449917 1.145053279 1.145020207 1.147832244 1.144730920 1.147352865 1.147336957 1.143816579 1.143953981 1.143953981 1.143721253 1.143721253 1.143821976
198450 1.151087900 1.043420869 1.043420869 0.107667031	1.043449917 1.145053279 1.145020207 1.147832244 1.144730920 1.147352865 1.147336957 1.143816579 1.143953981 1.143953981 1.143721253 1.143721253 1.143821976
220500 1.151087900 1.043420869 1.043420869 0.107667031	1.043449917 1.145045052 1.145020207 1.147215283 1.144730920 1.146846963 1.147058543 1.142302289 1.142148634 1.142148634 1.143619573 1.143619573 1.141788673
242550 1.151087900 1.043420869 1.043420869 0.107667031	1.043449917 1.142805258 1.143584963 1.142014472 1.142101623 1.141279697 1.141298895 1.132647671 1.128930136 1.128930136 1.137251486 1.137251486 1.127033937
264600 1.151087900 1.043420869 1.043420869 0.107667031	1.043449917 1.139996674 1.141843316 1.131438184 1.140414589 1.129416637 1.128760108 1.127840585 1.122713044 1.122713044 1.117708671 1.117708671 1.118218959
286650 1.151087900 1.043420869 1.043420869 0.107667031	1.043449917 1.139690679 1.141843316 1.131438184 1.140414589 1.129416637 1.128760108 1.126981753 1.122150837 1.122150837 1.116481567 1.116481567 1.116918044
308700 1.151087900 1.043420869 1.043420869 0.107667031	1.043449917 1.134330989 1.135504189 1.127196596 1.134105588 1.125378503 1.125038804 1.113919531 1.106863262 1.106863262 1.104382429 1.104382429 1.101812251
330750 1.151087900 1.043420869 1.043420869 0.107667031	1.043449917 1.086937022 1.093761589 1.089341472 1.091484397 1.086122397 1.085775154 1.064452233 1.058658708 1.058658708 1.060274714 1.060274714 1.055180389
176400 1.134455378 1.028647316 1.028647316 0.105808062	1.028675767 1.127469299 1.128335223 1.130429765 1.128021470 1.130840773 1.130845867 1.126293282 1.126417950 1.126417950 1.127672028 1.127672028 1.127231335
198450 1.134455378 1.028647316 1.028647316 0.105808062	1.028675767 1.127469299 1.128335223 1.130429765 1.128021470 1.130840773 1.130845867 1.126293282 1.126417950 1.126417950 1.127672028 1.127672028 1.127231335
