#input_size get_time acc_size acc_time op_type overall_time
2860 0.000263342 2860 0.000014332 add_time= 0.002050907
2652 0.000071485 2652 0.000008535 add_time= 0.000095914
2750 0.000127339 2750 0.000007607 add_time= 0.000169963
2750 0.000278918 2750 0.000007961 add_time= 0.000308053
3025 0.000096824 3025 0.000006908 add_time= 0.000131780
1375 0.000146387 1375 0.000006583 add_time= 0.000168109
2600 0.000126669 2600 0.000011268 add_time= 0.000207559
2550 0.000246359 2550 0.000006546 add_time= 0.000269131
2500 0.000094522 2500 0.000010272 add_time= 0.000120483
2600 0.000374557 2600 0.000014290 add_time= 0.000411621
2652 0.000134284 2652 0.000007532 add_time= 0.000164532
1250 0.000166336 1250 0.000008260 add_time= 0.000206707
2600 0.000121478 2600 0.000009672 add_time= 0.000169698
2970 0.000117631 2970 0.000007567 add_time= 0.000142829
2750 0.000043532 2750 0.000006838 add_time= 0.000074262
2750 0.000134873 2750 0.000009066 add_time= 0.000170568
2550 0.000131163 2550 0.000006930 add_time= 0.000155436
2550 0.000175462 2550 0.000007102 add_time= 0.000198311
2700 0.000104831 2700 0.000007157 add_time= 0.000138858
5665 0.002407242 2650 0.000012234 mult_time= 0.002574465
5400 0.003283129 2915 0.000008442 mult_time= 0.003354044
5665 0.002445669 2650 0.000008121 mult_time= 0.002520878
5200 0.002095685 2500 0.000007942 mult_time= 0.002156460
5000 0.001941479 2500 0.000009816 mult_time= 0.002003213
5500 0.001977569 2500 0.000008598 mult_time= 0.002045240
5100 0.000057374 2500 0.000007825 mult_time= 0.000130460
5500 0.000531508 2500 0.000007334 mult_time= 0.000590411
5555 0.002651129 2550 0.000007988 mult_time= 0.002717190
5250 0.002635020 2756 0.000008476 mult_time= 0.002699646
5564 0.003124566 2860 0.000008915 mult_time= 0.003191277
5508 0.003296161 2600 0.000008176 mult_time= 0.003356544
3850 0.001429253 1300 0.000007236 mult_time= 0.001488141
5202 0.000075546 2600 0.000016605 mult_time= 0.000148039
5150 0.000149414 2652 0.000007898 mult_time= 0.000208634
