#Capacity Gilmore_Gomory_makespan
1611 765.246423056
1700 765.245752049
899 386.244148434
988 373.686575955
1077 368.220102923
1166 357.244370810
1255 316.092540438
1344 315.425966225
1433 303.961688960
1522 297.178380510
1611 297.174887843
1700 297.095983638
899 645.189073948
988 644.276465049
1077 597.909331539
1166 551.226501528
1255 550.733303488
1344 550.549571855
1433 529.616987268
1522 524.013788396
1611 524.013656525
1700 524.013516538
899 921.735591729
988 902.581371698
1077 849.528360331
1166 822.415794175
1255 821.123568739
1344 787.040554689
1433 740.616488374
1522 731.710245514
1611 714.357678506
1700 713.774702704
899 644.837310181
988 644.169394730
1077 632.955467959
1166 609.938328632
1255 568.873976060
1344 547.400848117
1433 526.838899447
1522 473.819208207
1611 457.945282113
1700 452.536588636
899 1039.935499645
988 1021.166124243
1077 998.878452483
1166 927.146280950
1255 904.498411489
1344 901.504272848
1433 879.466448263
1522 879.462253075
1611 875.253151532
1700 864.477047484
899 1234.724372884
988 1140.024778463
1077 1039.373533502
1166 978.044637006
1255 923.431486202
1344 892.680963507
1433 870.086749526
1522 869.692225231
1611 869.602597676
1700 861.447116273
899 1235.338612461
988 1228.277885648
1077 1137.096955095
1166 1095.084729751
1255 1085.922258344
1344 946.807791760
1433 941.660668827
1522 901.747589935
1611 840.074733871
1700 834.893832798
899 777.230960909
988 764.645646415
1077 764.113202664
1166 742.066809183
1255 712.382271543
1344 661.337395003
1433 657.526928789
1522 628.785547104
1611 627.016464870
1700 624.689498705
899 1018.669421619
988 1007.313097249
1077 1000.400742743
1166 959.154246970
1255 919.063367849
1344 887.857218743
1433 885.922362221
1522 880.696529677
1611 849.481550107
1700 768.185276997
899 1639.505889520
988 1555.650436367
1077 1514.933479689
1166 1483.688504875
1255 1385.353844364
1344 1347.591087750
1433 1233.669492009
1522 1211.887381282
1611 1206.488897682
1700 1187.255707316
899 1382.761929110
988 1335.194511843
1077 1258.337647387
1166 1220.912831851
1255 1176.211281785
1344 1136.356857386
1433 1067.618020862
1522 1046.450906928
1611 1029.248420609
1700 1013.169959622
899 1109.505516500
988 1072.493597962
1077 1017.600810624
1166 964.911207978
1255 931.952129201
1344 900.827813962
1433 830.406280232
1522 828.039430641
1611 827.546757109
1700 818.013742804
899 1400.886133002
988 1332.550044979
1077 1288.418018309
1166 1281.269646786
1255 1243.554763442
1344 1181.372851939
1433 1099.696329155
1522 1080.232072369
1611 1078.552685209
1700 1074.455217062
899 1707.232194138
988 1615.681965298
1077 1580.617194691
1166 1518.316403132
1255 1484.836166721
1344 1405.765549123
1433 1404.251356220
1522 1337.098307679
1611 1255.345744062
1700 1148.189380241
899 1917.184667397
988 1855.943124495
1077 1700.336501602
1166 1566.082019834
1255 1519.248589957
1344 1515.595794894
1433 1499.513574982
1522 1405.403341293
1611 1375.523188646
1700 1373.377948546
899 2494.904929847
988 2476.252000491
1077 2305.304843752
1166 2223.322908172
1255 2097.655946422
1344 1943.617256999
1433 1698.022707474
1522 1680.664192610
1611 1664.695563691
1700 1664.523692842
899 2027.426291722
988 2021.817467036
1077 1994.292890088
1166 1906.513667381
1255 1804.864893354
1344 1695.599771725
1433 1649.950920010
1522 1553.259672014
1611 1520.098350710
1700 1502.569807892
899 1421.728064844
988 1371.902698182
1077 1269.858369662
1166 1267.801929122
1255 1235.594688767
1344 1185.135253173
1433 1082.857030194
1522 1051.329420332
1611 1043.018237634
1700 1005.453082449
899 1239.761467250
988 1191.664373697
1077 1109.229124305
1166 1102.412186507
1255 1055.326417331
1344 998.733016884
1433 966.713114974
1522 902.360014345
1611 902.355645131
1700 902.078570257
899 1802.368024596
988 1729.431196451
1077 1696.104299366
1166 1676.997140579
1255 1673.492060978
1344 1673.491579685
1433 1657.573826635
1522 1657.572763874
1611 1656.141998516
1700 1640.231279767
899 1985.155926016
988 1891.901062118
1077 1851.044233700
1166 1743.410295140
1255 1590.399956847
1344 1532.859076526
1433 1466.413483446
1522 1429.228402558
1611 1420.829524038
1700 1394.605191415
899 1451.727955523
988 1403.884565133
1077 1324.984381786
1166 1295.185206348
1255 1230.696347738
1344 1127.029663466
1433 1125.674424941
1522 1078.043199077
1611 1026.420116089
1700 1010.154271968
899 1776.134544176
988 1673.121176936
1077 1647.951760229
1166 1543.533243254
1255 1509.208300221
1344 1458.222823712
1433 1452.852000641
1522 1420.000553792
1611 1418.569919298
1700 1328.781093094
899 1630.587221033
988 1614.484680947
1077 1592.723814339
1166 1543.606425520
1255 1494.349479865
1344 1461.089180809
1433 1414.511727956
1522 1382.511112901
1611 1382.510746904
1700 1382.510369327
899 1872.229830355
988 1806.762938496
1077 1748.197352391
1166 1635.065481377
1255 1567.652374990
1344 1567.647845808
1433 1567.617390087
1522 1552.803934800
1611 1522.190692069
1700 1522.186956271
899 2275.042578345
988 2087.933807131
1077 2060.086597277
1166 1990.296298728
1255 1927.732572127
1344 1781.982640137
1433 1730.990110607
1522 1730.542981266
1611 1671.961350418
1700 1669.371560954
899 1388.990786580
988 1346.043141791
1077 1309.689282105
1166 1242.489451411
1255 1178.826601397
1344 1165.291661413
1433 1143.645641781
1522 1143.645576890
1611 1143.622034599
1700 1138.160039849
899 2299.458807499
988 2259.663878145
1077 2112.564833583
1166 1917.604730718
1255 1847.071087248
1344 1809.396948982
1433 1742.745473746
1522 1704.343275753
1611 1665.813594473
1700 1665.812552071
899 1885.071257981
988 1798.970437558
1077 1714.156015449
1166 1561.441369274
1255 1450.411224291
1344 1444.380290537
1433 1400.700605290
1522 1400.666904194
1611 1399.461118338
1700 1399.459630379
899 1837.023252120
988 1756.645838799
1077 1714.046359771
1166 1650.831291937
1255 1522.896840980
1344 1484.732792655
1433 1477.963071190
1522 1388.617806057
1611 1386.293557450
1700 1384.636679598
899 1666.286941127
988 1615.545959205
1077 1612.960080877
1166 1532.157485150
1255 1488.417743409
1344 1385.340427021
1433 1385.317357664
1522 1306.745214300
1611 1303.160516543
1700 1282.743734219
899 1922.501687090
988 1865.245204006
1077 1805.783109386
1166 1646.861160478
1255 1594.930560524
1344 1521.477811625
1433 1484.704865513
1522 1454.027988919
1611 1408.119630142
1700 1408.119473298
899 1806.153247589
988 1785.332636495
1077 1776.113230396
1166 1744.082725299
1255 1703.318086865
1344 1651.509085301
1433 1576.867639040
1522 1515.365089930
1611 1477.748731518
1700 1477.748682377
899 2107.845010502
988 2020.797094495
1077 1930.957393399
1166 1847.983556568
1255 1765.876121559
1344 1704.002052657
1433 1577.153448536
1522 1539.830465307
1611 1533.265313947
1700 1533.187204998
899 1969.798345306
988 1910.412994410
1077 1851.260926593
1166 1752.121146917
1255 1738.429383470
1344 1688.603693649
1433 1670.932245931
1522 1664.298223773
1611 1657.714163425
1700 1570.575185524
899 2099.215539627
988 1977.010111251
1077 1907.161533256
1166 1699.972324436
1255 1668.696219188
1344 1668.602968703
1433 1577.667138434
1522 1513.796748155
1611 1476.653312654
1700 1455.217503510
899 1444.608549876
988 1330.635140167
1077 1329.176446747
1166 1247.861070779
1255 1228.746402303
1344 1198.168810512
1433 1197.376283959
1522 1136.700557990
1611 1135.464399423
1700 1127.598527365
899 1518.594509749
988 1510.355781669
1077 1482.235902409
1166 1462.460887014
1255 1462.306847148
1344 1454.129561854
1433 1454.129304933
1522 1362.174624897
1611 1362.101048507
1700 1326.293233238
899 2026.990253107
988 1799.651695709
1077 1739.338177997
1166 1635.537355563
1255 1546.695682670
1344 1521.286344409
1433 1487.256635401
1522 1455.516874954
1611 1448.892832145
1700 1418.661241857
899 1742.720876439
988 1707.939244022
1077 1610.506029338
1166 1546.482598453
1255 1521.179865957
1344 1459.674987991
1433 1440.515063911
1522 1352.457496961
1611 1285.457117437
1700 1284.996881893
899 1359.658227249
988 1348.946512252
