capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp OMIM OS GG OOSIM IOCMS DOCPS IOCCS DOCCS LCMR SCMR MAMR OOLCMR OOSCMR OOMAMR  
1235 3851.458851773 2846.194544607 2846.194544607 1005.264307166 2846.194556290 3505.928693755 3180.189522399 3185.589372221 3250.576771602 3320.659111133 3200.765985578 3221.440158260 3156.866610355 3192.363648043 3192.363648043 2931.606377689 2931.606377689 3206.288506159  
1347 3851.458851773 2846.194544607 2846.194544607 1005.264307166 2846.194556290 3407.378524603 3121.387077960 3151.715022536 3161.281465436 3275.910277262 3125.588257337 3146.621487069 3016.747023412 2954.149476636 2954.149476636 2944.887377895 2944.887377895 3171.672016324  
1459 3851.458851773 2846.194544607 2846.194544607 1005.264307166 2846.194556290 3384.365958334 3080.879161123 3106.163656906 3066.902197500 3184.501746087 3085.607203572 3116.752302326 2898.919435174 2904.017835145 2904.017835145 2934.112759562 2934.112759562 3161.550112798  
1571 3851.458851773 2846.194544607 2846.194544607 1005.264307166 2846.194556290 3340.078259905 3011.346972557 3099.920210913 3031.825155080 3149.261118922 3062.496132459 3091.021387346 2862.185767281 2956.858361579 2956.858361579 2934.351491506 2934.351491506 3140.642231420  
1683 3851.458851773 2846.194544607 2846.194544607 1005.264307166 2846.194556290 3314.790720174 2928.990191441 3093.337474328 3022.899655018 3109.174699283 3058.618527550 3079.493500415 2894.301851456 2867.857621916 2867.857621916 2880.364702929 2880.364702929 3117.152521347  
1795 3851.458851773 2846.194544607 2846.194544607 1005.264307166 2846.194556290 3282.232962706 2892.636910434 3073.974779896 2982.391868678 3107.595434323 3058.432991530 3077.717309192 2883.269725551 2887.705114393 2887.705114393 2946.070107431 2946.070107431 3099.494180183  
899 2883.059719115 2064.027029594 2064.027029594 819.032689521 2064.027040503 2795.755528484 2616.823283095 2688.584939241 2646.113504999 2706.336632427 2680.134639770 2664.754631054 2494.802583959 2676.449685939 2676.449685939 2453.113874787 2453.113874787 2587.149804094  
1011 2883.059719115 2064.027029594 2064.027029594 819.032689521 2064.027040503 2761.826580482 2571.765421445 2577.969155054 2623.356412186 2593.736120049 2538.839110604 2595.530928013 2472.694820384 2680.820746052 2680.820746052 2280.963081537 2280.963081537 2589.053770581  
1235 2883.059719115 2064.027029594 2064.027029594 819.032689521 2064.027040503 2704.739084822 2369.041245694 2503.039149149 2500.704949357 2514.412122501 2494.735169606 2515.460172397 2314.362400465 2468.399646875 2468.399646875 2205.809261662 2205.809261662 2493.469755056  
1347 2883.059719115 2064.027029594 2064.027029594 819.032689521 2064.027040503 2667.484625913 2243.565721998 2420.204561804 2451.108368292 2458.891527678 2391.040479782 2390.218582934 2295.948354916 2309.652000298 2309.652000298 2216.895932132 2216.895932132 2455.745792816  
