capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp	OMIM OS OOSIM IOCMS DOCPS IOCCS DOCCS LCMR SCMR MAMR OOLCMR OOSCMR OOMAMR
3442583040 3546.279020652 2844.379780181 2844.379780181 701.899240471	2844.379828062 2954.870284887 2921.728458173 2994.892460861 2920.804596203 3062.009318880 2925.213752553 2904.763273365 2958.988888591 2958.988888591 2854.041955894 2854.041955894 2873.721286926
3672088576 3546.279020652 2844.379780181 2844.379780181 701.899240471	2844.379828062 2936.700798987 2909.957125286 2979.221251559 2844.379828062 2998.819997066 2907.843697662 2904.763273365 2964.073564926 2964.073564926 2844.379828062 2844.379828062 2850.990958637
1836044288 3851.458851773 2846.194544607 2846.194544607 1005.264307166	2846.205857519 3296.068743712 3175.330116187 3172.609052697 3168.966126514 3183.645204447 3088.357701492 3052.319135662 3081.888713415 3081.888713415 3059.159819858 3059.159819858 3131.177701005
2065549824 3851.458851773 2846.194544607 2846.194544607 1005.264307166	2846.205857519 3201.902851881 3160.200794778 3142.785378938 3135.955756040 3169.359951946 3040.894096001 2984.357174609 3021.837634938 3021.837634938 2972.286155775 2972.286155775 3133.711137557
2295055360 3851.458851773 2846.194544607 2846.194544607 1005.264307166	2846.205857519 3174.197471600 3144.427446245 3142.785378938 3135.955756040 3169.359951946 3040.779002031 2984.357174609 3021.878427464 3021.878427464 2944.004119409 2944.004119409 3057.578449713
2524560896 3851.458851773 2846.194544607 2846.194544607 1005.264307166	2846.205857519 3079.042285474 3130.238609448 3033.083707778 3094.179465721 3155.303993149 2973.359851494 2953.597523285 2940.464617027 2940.464617027 2956.058984992 2956.058984992 3053.837130263
2754066432 3851.458851773 2846.194544607 2846.194544607 1005.264307166	2846.205857519 3028.364457716 2979.126548348 2912.696282929 3042.183079306 3096.201030247 2874.530032590 2892.169962705 2909.181122969 2909.181122969 2900.471837371 2900.471837371 3002.218113741
2983571968 3851.458851773 2846.194544607 2846.194544607 1005.264307166	2846.205857519 3028.121501927 2978.997762170 2912.548228508 3030.767624664 3095.993880218 2874.345102984 2892.169962705 2909.181122969 2909.181122969 2883.818374015 2883.818374015 2985.991792583
3213077504 3851.458851773 2846.194544607 2846.194544607 1005.264307166	2846.205857519 2945.706795034 2965.354748254 2883.701155462 3013.440445521 3095.647580499 2864.093986547 2876.748962819 2909.181122969 2909.181122969 2876.075620658 2876.075620658 2992.533304219
3442583040 3851.458851773 2846.194544607 2846.194544607 1005.264307166	2846.205857519 2936.069506496 2955.253201278 2879.379787841 3001.714265963 3093.050462720 2863.876371126 2876.748962819 2878.035460500 2878.035460500 2911.356883290 2911.356883290 2943.402399466
3672088576 3851.458851773 2846.194544607 2846.194544607 1005.264307166	2846.205857519 2919.795777925 2927.135765898 2878.743911849 2983.156755916 3091.998533486 2847.032452367 2876.748962819 2878.035460500 2878.035460500 2900.101675579 2900.101675579 2918.654218360
1836044288 2883.059719115 2064.027029594 2064.027029594 819.032689521	2064.027060814 2489.044409808 2368.188942864 2333.680964212 2398.770490652 2416.826486359 2319.661655389 2225.043485307 2304.245683738 2304.245683738 2232.869000357 2232.869000357 2293.695771643
2065549824 2883.059719115 2064.027029594 2064.027029594 819.032689521	2064.027060814 2374.075219894 2355.731705964 2295.353106419 2374.007316645 2416.515957123 2269.928955266 2184.103134619 2274.042434186 2274.042434186 2214.412702600 2214.412702600 2281.685438835
2295055360 2883.059719115 2064.027029594 2064.027029594 819.032689521	2064.027060814 2338.957801320 2325.388743196 2281.845267854 2357.967208967 2416.472252826 2269.830682552 2141.498978335 2296.901074857 2296.901074857 2194.652025450 2194.652025450 2280.503658644
2524560896 2883.059719115 2064.027029594 2064.027029594 819.032689521	2064.027060814 2316.927998233 2314.380330894 2193.220445045 2338.934128984 2415.815541686 2223.796081506 2075.652617131 2183.372176997 2183.372176997 2138.731627602 2138.731627602 2272.162692116
2754066432 2883.059719115 2064.027029594 2064.027029594 819.032689521	2064.027060814 2256.805090720 2251.940790362 2179.163463343 2318.152702057 2377.169468479 2210.402985599 2109.584171974 2196.319223746 2196.319223746 2137.328272853 2137.328272853 2206.465502036
