capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp	OMIM OS OOSIM IOCMS DOCPS IOCCS DOCCS LCMR SCMR MAMR OOLCMR OOSCMR OOMAMR
2065549824 967.204828200 558.402624035 408.802204165 558.402624035	583.184049839 686.330309091 689.682119108 710.149702501 712.285514788 724.460145915 692.172970411 648.694584831 721.056263485 721.056263485 628.839903428 628.839903428 660.311003301
2295055360 967.204828200 558.402624035 408.802204165 558.402624035	583.184049839 671.970393481 684.641990630 703.809007181 705.532520977 721.298937445 679.605596162 638.214108644 699.093189664 699.093189664 626.409882499 626.409882499 640.695841281
2524560896 967.204828200 558.402624035 408.802204165 558.402624035	583.184049839 664.667494494 674.310418218 703.809007181 699.691663109 721.298937445 674.422109385 631.984536986 699.020616028 699.020616028 595.384129012 595.384129012 620.098626932
2754066432 967.204828200 558.402624035 408.802204165 558.402624035	583.184049839 645.215952147 674.310418218 700.587645258 698.107103086 717.994716783 664.973100312 645.647388302 695.859407558 695.859407558 590.097569408 590.097569408 603.907618746
2983571968 967.204828200 558.402624035 408.802204165 558.402624035	583.184049839 628.786941915 668.918253064 700.587645258 679.781339682 717.994716783 648.052332678 639.591689363 695.796594133 695.796594133 618.050950205 618.050950205 648.736005039
3213077504 967.204828200 558.402624035 408.802204165 558.402624035	583.184049839 623.395328853 668.918253064 697.363623363 679.781339682 714.770694888 644.035700669 627.777634805 692.029418834 692.029418834 618.837327678 618.837327678 620.456039908
3442583040 967.204828200 558.402624035 408.802204165 558.402624035	583.184049839 623.395328853 663.500689985 694.129841257 674.363776603 711.536912782 638.599318644 631.861857052 688.861811601 688.861811601 607.540849229 607.540849229 632.030284064
3672088576 967.204828200 558.402624035 408.802204165 558.402624035	583.184049839 618.054039003 663.500689985 694.129841257 674.363776603 711.536912782 634.805431371 626.978480929 688.849391418 688.849391418 625.841163337 625.841163337 644.745461268
1836044288 698.226572378 396.365776405 396.365776405 301.860795973	396.371860177 490.138251741 436.038511004 475.537796295 457.962036192 475.537796295 456.743567067 414.901951297 456.738800768 456.738800768 427.084494548 427.084494548 429.531304312
2065549824 698.226572378 396.365776405 396.365776405 301.860795973	396.371860177 464.714409121 421.536477296 471.405764274 450.594555786 471.405764274 437.007487398 411.275246321 452.566287329 452.566287329 409.601551273 409.601551273 413.436692831
2295055360 698.226572378 396.365776405 396.365776405 301.860795973	396.371860177 462.498085090 413.232241063 467.239860898 438.551194419 467.236464329 437.007487398 429.560779332 448.418810422 448.418810422 405.851593720 405.851593720 405.855656335
2524560896 698.226572378 396.365776405 396.365776405 301.860795973	396.371860177 445.350835367 410.110494854 462.450335100 418.708625637 462.450335100 418.925926436 410.815903902 462.444418160 462.444418160 400.600043942 400.600043942 402.633750901
2754066432 698.226572378 396.365776405 396.365776405 301.860795973	396.371860177 445.350835367 403.763620030 460.360201450 418.708625637 460.360201450 418.925926436 407.951576729 451.283277129 451.283277129 396.385155880 396.385155880 399.674214104
2983571968 698.226572378 396.365776405 396.365776405 301.860795973	396.371860177 426.002630667 396.371860177 460.360201450 409.404338304 460.360201450 403.449185234 408.147396901 432.210671703 432.210671703 396.371860177 396.371860177 396.371860177
3213077504 698.226572378 396.365776405 396.365776405 301.860795973	396.371860177 426.002630667 396.371860177 457.148408836 403.231884435 457.148408836 403.449185234 403.978790079 432.210671703 432.210671703 396.371860177 396.371860177 396.371860177
3442583040 698.226572378 396.365776405 396.365776405 301.860795973	396.371860177 426.002630667 396.371860177 451.636491214 403.231884435 451.636491214 403.449185234 402.310841111 432.834994238 432.834994238 396.371860177 396.371860177 396.371860177
3672088576 698.226572378 396.365776405 396.365776405 301.860795973	396.371860177 426.002630667 396.371860177 451.636491214 396.371860177 451.636491214 396.589160976 402.310841111 433.340735018 433.340735018 396.371860177 396.371860177 396.371860177
1836044288 1431.179153925 842.444943284 842.444943284 588.734210641	842.444981187 1105.336977169 1101.945736035 1072.354905615 1078.204128172 1122.506674892 1000.710201833 994.953087363 1041.870119623 1041.870119623 1001.633687966 1001.633687966 1062.928624751
2065549824 1431.179153925 842.444943284 842.444943284 588.734210641	842.444981187 1098.105186456 1088.397612431 1038.940879103 1051.398221029 1121.207691831 970.851485647 992.688777829 1049.016534082 1049.016534082 963.229477322 963.229477322 1004.874569023
2295055360 1431.179153925 842.444943284 842.444943284 588.734210641	842.444981187 1049.927993588 1088.397612431 1035.164718792 1051.398221029 1118.010105878 970.851485647 961.198310420 1046.079130636 1046.079130636 904.059042931 904.059042931 973.296232153
2524560896 1431.179153925 842.444943284 842.444943284 588.734210641	842.444981187 1044.079792991 1071.127305733 1033.191406416 981.492636330 1088.160509334 961.470037119 961.198310420 1042.574009225 1042.574009225 881.551008074 881.551008074 965.880907252
2754066432 1431.179153925 842.444943284 842.444943284 588.734210641	842.444981187 1023.245920081 978.962836667 999.018423056 968.446888666 1028.393568490 935.461896440 961.198310420 1009.781030547 1009.781030547 890.260779503 890.260779503 947.031333163
2983571968 1431.179153925 842.444943284 842.444943284 588.734210641	842.444981187 1011.383638234 977.677184784 994.851330503 968.446888666 1024.771117930 935.461896440 961.198310420 1006.765056590 1006.765056590 851.549311746 851.549311746 918.791174741
3213077504 1431.179153925 842.444943284 842.444943284 588.734210641	842.444981187 981.638532237 977.677184784 990.680980847 962.144302111 1020.768386739 935.461896440 961.198310420 1007.052720792 1007.052720792 845.043002285 845.043002285 889.904003012
3442583040 1431.179153925 842.444943284 842.444943284 588.734210641	842.444981187 969.713929023 952.365314963 988.293627708 950.177018146 1015.455306964 902.029204408 961.198310420 1005.131644889 1005.131644889 858.286851097 858.286851097 896.658555547
3672088576 1431.179153925 842.444943284 842.444943284 588.734210641	842.444981187 896.393760677 892.924482252 923.186892283 877.621707840 951.943123254 842.716669983 901.757477709 911.267101352 911.267101352 846.454360277 846.454360277 882.582303509
1836044288 1404.683149079 706.649154507 698.033994572 706.649154507	715.174515522 1169.516478970 1025.779457151 1029.669096681 1006.850651151 990.558264499 977.896592766 944.048815670 986.569523993 986.569523993 951.205684093 951.205684093 996.503356850
2065549824 1404.683149079 706.649154507 698.033994572 706.649154507	715.174515522 1082.292695028 1025.779457151 1003.081743107 1000.444328864 990.558264499 975.740958025 940.728837061 959.982170419 959.982170419 888.457967851 888.457967851 933.628803226
2295055360 1404.683149079 706.649154507 698.033994572 706.649154507	715.174515522 1004.502298526 1015.170142011 993.277564617 995.951873307 990.558264499 957.620329437 932.500009811 959.982170419 959.982170419 874.518385607 874.518385607 907.653701574
2524560896 1404.683149079 706.649154507 698.033994572 706.649154507	715.174515522 946.872636858 1015.170142011 977.704767964 962.498154927 987.693639787 936.919884831 924.370858239 927.792397502 927.792397502 874.468486228 874.468486228 947.012347347
2754066432 1404.683149079 706.649154507 698.033994572 706.649154507	715.174515522 875.291130670 918.958862494 866.392964257 911.969785727 941.394730732 888.720570669 818.018641982 896.935234331 896.935234331 811.806910976 811.806910976 846.026812974
2983571968 1404.683149079 706.649154507 698.033994572 706.649154507	715.174515522 860.696858313 918.958862494 866.392964257 911.969785727 941.394730732 875.630988142 818.018641982 896.935234331 896.935234331 788.687514413 788.687514413 837.338169397
3213077504 1404.683149079 706.649154507 698.033994572 706.649154507	715.174515522 850.607901394 918.958862494 866.392964257 898.880203200 941.394730732 863.194409769 818.018641982 896.935234331 896.935234331 794.855221341 794.855221341 823.453256816
3442583040 1404.683149079 706.649154507 698.033994572 706.649154507	715.174515522 847.900184006 907.986454917 850.636325276 898.880203200 941.394730732 860.407109682 813.279009534 881.493488447 881.493488447 805.301344136 805.301344136 831.167870727
3672088576 1404.683149079 706.649154507 698.033994572 706.649154507	715.174515522 844.785688500 847.358924668 850.636325276 843.082476821 880.767200483 798.995657765 813.279009534 820.865958198 820.865958198 765.522392765 765.522392765 759.480028485
1836044288 1400.073512316 747.514581063 747.514581063 652.558931253	747.514593873 1116.493339461 1066.432156583 1084.820287292 1111.525456494 1082.942703044 1063.647986045 995.297298618 1039.385166038 1039.385166038 995.297298618 995.297298618 1052.448599721
2065549824 1400.073512316 747.514581063 747.514581063 652.558931253	747.514593873 1058.146298292 1066.394555139 1068.804688100 1107.658755063 1082.942703044 1048.862007800 956.346894570 994.876099058 994.876099058 941.804585168 941.804585168 1015.356741563
2295055360 1400.073512316 747.514581063 747.514581063 652.558931253	747.514593873 1028.345853494 1061.077101240 1021.993801476 1099.533723591 1082.942703044 1040.277210408 939.953586078 993.011565172 993.011565172 856.540483304 856.540483304 970.438849305
2524560896 1400.073512316 747.514581063 747.514581063 652.558931253	747.514593873 1016.547456860 1053.985607293 1015.026218813 1072.483289991 1072.173810283 1026.981734217 926.570221285 967.478726858 967.478726858 898.152599640 898.152599640 994.186332307
2754066432 1400.073512316 747.514581063 747.514581063 652.558931253	747.514593873 978.187220830 975.602581451 980.558793980 950.899693051 940.013826867 932.307968699 835.024433833 856.090237366 856.090237366 803.914074090 803.914074090 913.054407304
2983571968 1400.073512316 747.514581063 747.514581063 652.558931253	747.514593873 951.122871447 975.602581451 976.466310243 950.899693051 940.013826867 932.307968699 806.834784094 851.932241016 851.932241016 802.021485171 802.021485171 874.391513581
3213077504 1400.073512316 747.514581063 747.514581063 652.558931253	747.514593873 925.286135114 975.602581451 956.458339960 941.326219478 940.013826867 932.307968699 806.834784094 818.655687490 818.655687490 802.997849669 802.997849669 885.116356215
3442583040 1400.073512316 747.514581063 747.514581063 652.558931253	747.514593873 921.669454927 954.898483198 945.834474288 899.854694399 916.676164697 905.312997678 812.965175162 809.660246328 809.660246328 784.540029595 784.540029595 865.099387633
3672088576 1400.073512316 747.514581063 747.514581063 652.558931253	747.514593873 893.537236816 913.581464378 901.266529990 854.787164197 875.359145877 865.546076614 812.965175162 831.094373972 831.094373972 782.139407766 782.139407766 875.223062169
1836044288 955.737947715 487.981136327 467.756811388 487.981136327	490.903215703 651.341167542 637.905262332 663.545420386 683.518323951 640.973863400 638.327493350 616.321516333 649.506488415 649.506488415 590.920042922 590.920042922 587.207654228
2065549824 955.737947715 487.981136327 467.756811388 487.981136327	490.903215703 636.891024113 626.932612241 659.376002083 670.748358954 636.828581640 626.666907425 553.140576445 648.659804604 648.659804604 568.684729009 568.684729009 565.065313389
2295055360 955.737947715 487.981136327 467.756811388 487.981136327	490.903215703 616.495080250 594.974602235 635.149202423 662.520294015 632.547973988 614.043670560 595.469136412 616.249867764 616.249867764 530.552751987 530.552751987 556.731976715
2524560896 955.737947715 487.981136327 467.756811388 487.981136327	490.903215703 593.876085568 566.050753376 626.041009250 649.803632817 629.301631900 610.358486653 590.261731359 636.766071745 636.766071745 546.088061628 546.088061628 548.828546156
2754066432 955.737947715 487.981136327 467.756811388 487.981136327	490.903215703 572.578741784 544.773863211 626.041009250 634.361621547 629.301631900 605.607138255 581.608924607 613.003525676 613.003525676 543.487704667 543.487704667 540.258387649
2983571968 955.737947715 487.981136327 467.756811388 487.981136327	490.903215703 572.578741784 544.026764798 622.692998213 621.888197985 622.526419153 592.569654681 567.044755024 622.692998213 622.692998213 535.064629734 535.064629734 536.343261463
3213077504 955.737947715 487.981136327 467.756811388 487.981136327	490.903215703 544.771074953 536.983021131 622.692998213 610.755691674 622.526419153 587.227149098 562.796033140 609.655514639 609.655514639 526.814155964 526.814155964 528.186315427
3442583040 955.737947715 487.981136327 467.756811388 487.981136327	490.903215703 542.647630364 536.983021131 622.692998213 584.222965138 615.478441829 572.529017716 546.626873288 609.655514639 609.655514639 521.572757282 521.572757282 523.409776979
3672088576 955.737947715 487.981136327 467.756811388 487.981136327	490.903215703 542.265279383 530.207808384 618.338591780 577.447752391 608.434698162 562.266878608 514.155696233 602.880301892 602.880301892 520.862819520 520.862819520 521.733484408
1836044288 1136.521172959 648.397520443 488.123652516 648.397520443	677.455048676 887.425695279 757.158052911 797.324295382 806.137156784 812.096495168 797.525870978 744.929550887 787.885837918 787.885837918 712.886830994 712.886830994 730.278086217
2065549824 1136.521172959 648.397520443 488.123652516 648.397520443	677.455048676 827.782438107 757.158052911 793.809761934 803.626706787 808.581972691 793.950231613 730.888364633 778.394628597 778.394628597 712.615275370 712.615275370 722.400190048
2295055360 1136.521172959 648.397520443 488.123652516 648.397520443	677.455048676 749.126305235 741.933209275 782.778969609 789.218387571 804.568401103 777.031462400 758.502507270 776.643389588 776.643389588 677.455048676 677.455048676 698.988221705
2524560896 1136.521172959 648.397520443 488.123652516 648.397520443	677.455048676 741.073781690 741.933209275 778.638889277 780.264189333 800.428320771 776.455664764 746.067086690 767.854812888 767.854812888 691.533773461 691.533773461 698.899730606
2754066432 1136.521172959 648.397520443 488.123652516 648.397520443	677.455048676 712.437261307 726.945228473 771.682088909 767.811717208 795.699649521 758.256596685 723.635280868 763.754023342 763.754023342 684.001639479 684.001639479 698.662082846
2983571968 1136.521172959 648.397520443 488.123652516 648.397520443	677.455048676 712.437261307 708.134282733 768.650953986 762.211140669 789.207011031 735.893464835 712.376964792 760.722888419 760.722888419 677.455048676 677.455048676 697.690661913
3213077504 1136.521172959 648.397520443 488.123652516 648.397520443	677.455048676 708.880497128 708.134282733 761.938867812 757.037755575 785.956428424 735.400786784 712.376964792 760.281897808 760.281897808 680.157724750 680.157724750 680.564231612
3442583040 1136.521172959 648.397520443 488.123652516 648.397520443	677.455048676 693.703442942 701.094546959 761.938867812 757.037755575 775.075246320 727.189554351 712.376964792 757.250762885 757.250762885 677.455048676 677.455048676 681.868136758
3672088576 1136.521172959 648.397520443 488.123652516 648.397520443	677.455048676 693.703442942 701.094546959 758.466742278 745.263669012 775.075246320 722.507725438 712.376964792 742.863735698 742.863735698 677.455048676 677.455048676 677.455048676
1836044288 1708.762028771 1187.221471980 1187.221471980 521.540556791	1187.234785926 1342.546920245 1331.562224933 1351.610433282 1305.724786283 1351.477151233 1305.854575630 1335.693613262 1335.693613262 1335.693613262 1335.490525369 1335.490525369 1335.490525369
2065549824 1708.762028771 1187.221471980 1187.221471980 521.540556791	1187.234785926 1331.564082022 1331.562224933 1348.775044309 1305.724772053 1348.641762260 1305.854507133 1282.088269454 1332.858224289 1332.858224289 1188.060987480 1188.060987480 1261.408280449
2295055360 1708.762028771 1187.221471980 1187.221471980 521.540556791	1187.234785926 1297.689337084 1312.413849717 1345.953722159 1305.724772053 1345.820440110 1305.854507133 1277.858274928 1311.040973866 1311.040973866 1190.814411579 1190.814411579 1260.504753643
2524560896 1708.762028771 1187.221471980 1187.221471980 521.540556791	1187.234785926 1292.745234071 1305.724772053 1323.244251903 1305.724772053 1339.027789874 1305.854507133 1218.421006240 1263.806983215 1263.806983215 1187.234785926 1187.234785926 1239.278541543
2754066432 1708.762028771 1187.221471980 1187.221471980 521.540556791	1187.234785926 1281.241376500 1247.723151124 1235.476877658 1247.723151124 1309.262036558 1246.417238445 1190.090900683 1188.873521578 1188.873521578 1187.234785926 1187.234785926 1197.178388322
2983571968 1708.762028771 1187.221471980 1187.221471980 521.540556791	1187.234785926 1240.469869623 1247.723151124 1230.694753605 1247.723151124 1304.479912505 1246.417238445 1190.090900683 1211.698825332 1211.698825332 1187.234785926 1187.234785926 1202.847090663
3213077504 1708.762028771 1187.221471980 1187.221471980 521.540556791	1187.234785926 1227.499380647 1247.723151124 1229.259105846 1247.723151124 1304.479912505 1246.417238445 1188.655252924 1187.437873819 1187.437873819 1187.234785926 1187.234785926 1190.513332396
3442583040 1708.762028771 1187.221471980 1187.221471980 521.540556791	1187.234785926 1219.711683288 1246.672054614 1222.721500870 1246.672054614 1286.921447899 1246.417238445 1188.655252924 1192.704712967 1192.704712967 1187.234785926 1187.234785926 1196.116184664
3672088576 1708.762028771 1187.221471980 1187.221471980 521.540556791	1187.234785926 1205.174072513 1187.234785926 1222.721500870 1187.234785926 1227.484179211 1199.567815722 1188.655252924 1197.155784170 1197.155784170 1187.234785926 1187.234785926 1187.234785926
1836044288 1601.006686458 999.973875001 999.973875001 601.032811457	999.981979849 1130.095248125 1044.533996350 1068.551680394 1053.291248074 1079.423693576 1034.768659955 1038.309979757 1065.852199315 1065.852199315 999.986916351 999.986916351 1029.606446533
2065549824 1601.006686458 999.973875001 999.973875001 601.032811457	999.981979849 1065.597794080 1044.528727953 1030.133183494 1049.560724141 1076.724212497 1031.783988102 1029.674148736 1030.133183494 1030.133183494 999.981979849 999.981979849 1034.248187875
2295055360 1601.006686458 999.973875001 999.973875001 601.032811457	999.981979849 1056.275670058 1044.528727953 1030.133183494 1049.560724141 1076.724212497 1031.783988102 1029.674148736 1030.133183494 1030.133183494 999.981979849 999.981979849 1021.257050473
2524560896 1601.006686458 999.973875001 999.973875001 601.032811457	999.981979849 1046.121596742 1004.910982932 1030.133183494 1014.657653670 1076.724212497 1000.731141858 1029.674148736 1030.133183494 1030.133183494 999.981979849 999.981979849 1002.680021014
2754066432 1601.006686458 999.973875001 999.973875001 601.032811457	999.981979849 1030.130140058 1004.910982932 1030.133183494 1014.657653670 1076.724212497 1000.731141858 1029.674148736 1030.133183494 1030.133183494 999.981979849 999.981979849 1001.286404644
2983571968 1601.006686458 999.973875001 999.973875001 601.032811457	999.981979849 1030.130140058 1004.910982932 1030.133183494 1014.657653670 1076.724212497 1000.731141858 1029.674148736 1030.133183494 1030.133183494 999.981979849 999.981979849 999.986572128
3213077504 1601.006686458 999.973875001 999.973875001 601.032811457	999.981979849 1030.130140058 999.981979849 1030.133183494 999.981979849 1076.724212497 1000.731141858 1029.674148736 1030.133183494 1030.133183494 999.981979849 999.981979849 999.981979849
3442583040 1601.006686458 999.973875001 999.973875001 601.032811457	999.981979849 1030.130140058 999.981979849 1030.133183494 999.981979849 1076.724212497 1000.731141858 1029.674148736 1030.133183494 1030.133183494 999.981979849 999.981979849 999.981979849
3672088576 1601.006686458 999.973875001 999.973875001 601.032811457	999.981979849 1030.130140058 999.981979849 1030.133183494 999.981979849 1076.724212497 1000.731141858 1029.674148736 1030.133183494 1030.133183494 999.981979849 999.981979849 999.981979849
1836044288 1261.478607988 760.700296483 760.700296483 500.778311505	760.727806821 803.873413829 850.785841048 853.788569304 860.127280004 908.921190981 862.815221812 780.938269220 834.102579820 834.102579820 794.553620452 794.553620452 814.708203042
2065549824 1261.478607988 760.700296483 760.700296483 500.778311505	760.727806821 782.220398297 850.785841048 831.570011350 860.127280004 908.921190981 846.096531482 776.815321517 780.125447300 780.125447300 799.664193958 799.664193958 838.138168664
2295055360 1261.478607988 760.700296483 760.700296483 500.778311505	760.727806821 760.835592145 828.696788478 793.085961119 838.038227434 897.129472681 829.927565407 776.421025816 793.085961119 793.085961119 768.184349288 768.184349288 806.021189051
2524560896 1261.478607988 760.700296483 760.700296483 500.778311505	760.727806821 760.835592145 828.696788478 793.085961119 838.038227434 897.129472681 821.348059797 776.421025816 776.418963417 776.418963417 771.889059621 771.889059621 815.636727870
2754066432 1261.478607988 760.700296483 760.700296483 500.778311505	760.727806821 760.835592145 795.809132073 793.085961119 808.377331586 897.129472681 804.542343123 776.421025816 776.418963417 776.418963417 760.727806821 760.727806821 782.278485321
2983571968 1261.478607988 760.700296483 760.700296483 500.778311505	760.727806821 760.835592145 795.809132073 793.085961119 805.150571029 884.281732505 799.259007227 776.421025816 792.907177040 792.907177040 760.727806821 760.727806821 777.949114594
3213077504 1261.478607988 760.700296483 760.700296483 500.778311505	760.727806821 760.835592145 795.809132073 780.238220943 805.150571029 846.860544289 778.556132285 776.421025816 776.418963417 776.418963417 760.727806821 760.727806821 782.547636302
3442583040 1261.478607988 760.700296483 760.700296483 500.778311505	760.727806821 760.835592145 777.616883018 780.238220943 792.646792684 846.860544289 778.556132285 776.421025816 776.418963417 776.418963417 763.422824809 763.422824809 763.901006425
3672088576 1261.478607988 760.700296483 760.700296483 500.778311505	760.727806821 760.835592145 777.616883018 776.418963417 792.646792684 838.553008698 760.835728457 776.421025816 776.418963417 776.418963417 760.727806821 760.727806821 762.319465682
1836044288 1587.897398576 1055.945429242 1055.945429242 531.951969334	1055.945441115 1238.444459560 1251.206361039 1208.806533649 1213.019365909 1223.168779900 1208.336148389 1206.698330747 1206.698330747 1206.698330747 1206.738526971 1206.738526971 1233.396527941
2065549824 1587.897398576 1055.945429242 1055.945429242 531.951969334	1055.945441115 1215.324768736 1248.313372208 1208.806533649 1210.126364706 1223.168779900 1187.985265569 1206.698330747 1206.698330747 1206.698330747 1073.244759495 1073.244759495 1119.666909635
2295055360 1587.897398576 1055.945429242 1055.945429242 531.951969334	1055.945441115 1206.233714987 1248.313372208 1159.223167716 1210.126364706 1223.168779900 1187.985265569 1206.698330747 1159.223167716 1159.223167716 1064.597443292 1064.597443292 1073.706172664
2524560896 1587.897398576 1055.945429242 1055.945429242 531.951969334	1055.945441115 1206.233714987 1248.313372208 1159.223167716 1179.847272777 1206.698330747 1176.955695840 1206.698330747 1159.223167716 1159.223167716 1055.945441115 1055.945441115 1094.962837107
2754066432 1587.897398576 1055.945429242 1055.945429242 531.951969334	1055.945441115 1131.202758071 1164.158803187 1106.132183355 1160.696026676 1176.557711141 1119.554988607 1096.246835377 1106.132183355 1106.132183355 1067.401071228 1067.401071228 1084.820266752
2983571968 1587.897398576 1055.945429242 1055.945429242 531.951969334	1055.945441115 1115.475939948 1164.158803187 1106.132183355 1160.696026676 1176.557711141 1119.554988607 1096.246835377 1106.132183355 1106.132183355 1056.072611648 1056.072611648 1078.279377742
3213077504 1587.897398576 1055.945429242 1055.945429242 531.951969334	1055.945441115 1115.449514482 1164.158803187 1106.132183355 1157.406476913 1176.557711141 1119.554988607 1093.049786014 1088.699866918 1088.699866918 1055.958185012 1055.958185012 1075.303788279
3442583040 1587.897398576 1055.945429242 1055.945429242 531.951969334	1055.945441115 1108.991580799 1142.227015391 1099.208642413 1119.323739406 1176.557711141 1116.357939244 1093.049786014 1088.699866918 1088.699866918 1055.945441115 1055.945441115 1100.091376804
3672088576 1587.897398576 1055.945429242 1055.945429242 531.951969334	1055.945441115 1108.991580799 1089.748764919 1099.208642413 1066.845488934 1124.079460669 1070.286107730 1093.049786014 1088.699866918 1088.699866918 1055.945441115 1055.945441115 1083.499673924
1836044288 1808.777923509 1121.506722938 1121.506722938 687.271200571	1121.543908022 1259.493733441 1295.114150098 1299.080125134 1251.485378616 1241.578065037 1227.124182494 1226.813982752 1230.128602616 1230.128602616 1221.359559161 1221.359559161 1237.339842371
2065549824 1808.777923509 1121.506722938 1121.506722938 687.271200571	1121.543908022 1231.872460611 1295.114150098 1299.080125134 1251.485367399 1241.578065037 1227.124161609 1226.813982752 1230.128602616 1230.128602616 1136.924352217 1136.924352217 1125.962554763
2295055360 1808.777923509 1121.506722938 1121.506722938 687.271200571	1121.543908022 1201.486029812 1295.114150098 1285.216501400 1251.485367399 1241.578065037 1227.124161609 1226.813982752 1231.210296274 1231.210296274 1123.062711649 1123.062711649 1162.087123257
2524560896 1808.777923509 1121.506722938 1121.506722938 687.271200571	1121.543908022 1159.497392349 1295.114150098 1271.156655122 1193.210302176 1212.238965464 1190.705279136 1212.238965464 1212.238965464 1212.238965464 1128.915602788 1128.915602788 1151.172135377
2754066432 1808.777923509 1121.506722938 1121.506722938 687.271200571	1121.543908022 1159.497392349 1201.392014034 1167.128361867 1173.706467446 1181.727055802 1130.484946272 1152.018632600 1152.018632600 1152.018632600 1121.556925247 1121.556925247 1130.108030186
2983571968 1808.777923509 1121.506722938 1121.506722938 687.271200571	1121.543908022 1152.361563174 1201.392014034 1167.128361867 1173.706467446 1181.727055802 1130.484946272 1152.018632600 1152.018632600 1152.018632600 1121.556925247 1121.556925247 1121.576520075
3213077504 1808.777923509 1121.506722938 1121.506722938 687.271200571	1121.543908022 1152.361563174 1201.392014034 1167.128361867 1162.331671392 1181.727055802 1121.762576444 1152.018632600 1152.018632600 1152.018632600 1121.556925247 1121.556925247 1121.556925247
3442583040 1808.777923509 1121.506722938 1121.506722938 687.271200571	1121.543908022 1152.361563174 1141.171681170 1152.018632600 1121.615173258 1181.727055802 1121.762576444 1152.018632600 1152.018632600 1152.018632600 1141.171038063 1141.171038063 1141.171038063
3672088576 1808.777923509 1121.506722938 1121.506722938 687.271200571	1121.543908022 1152.361563174 1141.171681170 1152.018632600 1121.615173258 1181.727055802 1121.762576444 1152.018632600 1152.018632600 1152.018632600 1122.735606041 1122.735606041 1121.544311851
1836044288 2157.493241229 1275.740506129 1275.740506129 881.752735100	1275.740517829 1718.020400969 1728.677311450 1661.968547130 1690.036788392 1715.464022764 1686.961083718 1656.725528862 1658.747813765 1658.747813765 1621.313031202 1621.313031202 1687.740315963
2065549824 2157.493241229 1275.740506129 1275.740506129 881.752735100	1275.740517829 1648.745108716 1728.677311450 1638.433101917 1684.821022297 1715.464022764 1681.705734538 1637.878853938 1621.901888189 1621.901888189 1429.027919815 1429.027919815 1468.783387837
2295055360 2157.493241229 1275.740506129 1275.740506129 881.752735100	1275.740517829 1593.936449597 1728.677311450 1635.212368552 1684.821022297 1715.464022764 1681.705734538 1637.878853938 1621.901888189 1621.901888189 1413.567131578 1413.567131578 1455.443235698
2524560896 2157.493241229 1275.740506129 1275.740506129 881.752735100	1275.740517829 1523.662646972 1727.078895550 1621.901888189 1649.043332905 1695.047932899 1638.478539849 1637.878853938 1621.901888189 1621.901888189 1312.991493736 1312.991493736 1348.896199862
2754066432 2157.493241229 1275.740506129 1275.740506129 881.752735100	1275.740517829 1495.960887289 1619.322812088 1591.298354301 1616.898849947 1635.734798294 1603.694377455 1607.235841771 1591.298354301 1591.298354301 1303.126212545 1303.126212545 1348.005992328
2983571968 2157.493241229 1275.740506129 1275.740506129 881.752735100	1275.740517829 1450.290097965 1619.322812088 1580.266478586 1616.898849947 1635.734798294 1575.045995637 1607.235841771 1580.266478586 1580.266478586 1286.101661640 1286.101661640 1283.760631918
3213077504 2157.493241229 1275.740506129 1275.740506129 881.752735100	1275.740517829 1421.479323312 1619.322812088 1580.266478586 1575.784665342 1635.734798294 1566.848451879 1607.235841771 1580.266478586 1580.266478586 1275.880213914 1275.880213914 1308.103184563
3442583040 2157.493241229 1275.740506129 1275.740506129 881.752735100	1275.740517829 1405.249026907 1595.158134946 1580.266478586 1572.635929432 1633.351103034 1544.532605909 1580.266478586 1580.266478586 1580.266478586 1275.892391874 1275.892391874 1281.182143859
3672088576 2157.493241229 1275.740506129 1275.740506129 881.752735100	1275.740517829 1344.111379998 1351.446125751 1336.554469391 1323.659620573 1389.639093839 1300.789196964 1336.554469391 1336.554469391 1336.554469391 1283.397347714 1283.397347714 1287.071616527
1836044288 2600.753432580 1664.152132693 1664.152132693 936.601299887	1664.165748756 1987.105526415 1971.118019132 1942.286314429 1952.582160608 1952.870709183 1897.961518810 1871.413237188 1886.112413716 1886.112413716 1848.976517320 1848.976517320 1916.631119229
2065549824 2600.753432580 1664.152132693 1664.152132693 936.601299887	1664.165748756 1944.027731228 1971.118019132 1942.286314429 1941.009540999 1952.870709183 1871.136467907 1844.419278448 1844.419278448 1844.419278448 1664.225081661 1664.225081661 1681.480188979
2295055360 2600.753432580 1664.152132693 1664.152132693 936.601299887	1664.165748756 1874.659114261 1971.118019132 1867.856444744 1941.009540999 1952.870709183 1871.136467907 1813.159811092 1818.166085121 1818.166085121 1665.333296304 1665.333296304 1700.243329549
2524560896 2600.753432580 1664.152132693 1664.152132693 936.601299887	1664.165748756 1834.427297472 1969.881331855 1844.351917693 1874.935183357 1901.724474833 1845.219298474 1783.010203393 1813.159811092 1813.159811092 1667.361396085 1667.361396085 1713.081815287
2754066432 2600.753432580 1664.152132693 1664.152132693 936.601299887	1664.165748756 1792.754874495 1852.224140120 1783.010203393 1843.463757151 1843.316666507 1796.058928865 1783.010203393 1783.010203393 1783.010203393 1664.172764441 1664.172764441 1682.712957748
