capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp OMIM OS GG OOSIM IOCMS DOCPS IOCCS DOCCS LCMR SCMR MAMR OOLCMR OOSCMR OOMAMR  
1800 4281.440875539 3281.296731670 3281.296731670 1000.144143869 3281.296743383 3556.152069946 3281.296746796 3498.696874120 3505.293405477 3552.671171284 3426.401961024 3420.632263543 3343.147416803 3494.995149824 3494.995149824 3337.984409631 3337.984409631 3475.191751627  
904 3003.812498029 2220.367390496 2220.367390496 783.445107533 2220.367402423 2886.607732023 2723.327353406 2672.783414335 2686.319700484 2806.094778893 2648.155648779 2658.416920219 2564.279947960 2820.113984116 2820.113984116 2555.615632551 2555.615632551 2669.755405159  
1016 3003.812498029 2220.367390496 2220.367390496 783.445107533 2220.367402423 2857.909104368 2637.066598070 2657.495772333 2651.721888166 2685.461351393 2628.290230574 2599.034695562 2546.598917128 2915.988254824 2915.988254824 2428.084814555 2428.084814555 2577.991011963  
1128 3003.812498029 2220.367390496 2220.367390496 783.445107533 2220.367402423 2808.681755459 2585.176088333 2635.781290910 2591.569425125 2603.022806908 2584.259157871 2526.155799423 2537.967212172 2653.780165574 2653.780165574 2360.543160411 2360.543160411 2619.837150057  
1240 3003.812498029 2220.367390496 2220.367390496 783.445107533 2220.367402423 2713.145825356 2445.182597181 2611.854581409 2541.009618314 2542.453268836 2554.192384887 2512.208385236 2448.055051687 2497.490487999 2497.490487999 2324.780915740 2324.780915740 2574.487030926  
1352 3003.812498029 2220.367390496 2220.367390496 783.445107533 2220.367402423 2708.679988712 2382.467134039 2550.841901074 2517.773923762 2523.646225562 2494.753593407 2430.324562336 2307.454330278 2432.836230898 2432.836230898 2310.754839025 2310.754839025 2544.973702715  
1464 3003.812498029 2220.367390496 2220.367390496 783.445107533 2220.367402423 2612.155902462 2368.899243582 2548.477513288 2434.221975439 2520.280620389 2467.238582346 2412.444911255 2273.159348794 2442.728777311 2442.728777311 2328.812418219 2328.812418219 2531.032391010  
1576 3003.812498029 2220.367390496 2220.367390496 783.445107533 2220.367402423 2591.807413000 2337.130705642 2494.556901771 2408.374940981 2455.095286644 2439.216899466 2405.871226334 2253.635090623 2382.314857469 2382.314857469 2325.380480546 2325.380480546 2518.531900792  
1688 3003.812498029 2220.367390496 2220.367390496 783.445107533 2220.367402423 2561.822309143 2317.176454073 2433.712028255 2336.561761387 2455.035885924 2373.287065423 2357.329171920 2253.267497743 2341.322578173 2341.322578173 2339.683117770 2339.683117770 2468.598170622  
1800 3003.812498029 2220.367390496 2220.367390496 783.445107533 2220.367402423 2536.001051124 2316.786779244 2419.780751105 2336.375685801 2410.379110681 2373.286833581 2341.011105974 2252.794675681 2323.045981331 2323.045981331 2300.828892288 2300.828892288 2472.398454131  
